khipu_id,parallel_sections,max_parallel_width,serial_chain_length,parallelization_ratio,parallel_fraction,n_cords
1000000,2,13,3,4.333333333333333,1.0,18
1000001,1,6,2,3.0,1.0,6
1000002,2,24,3,8.0,1.0,30
1000003,2,31,3,10.333333333333334,1.0,38
1000004,2,159,3,53.0,1.0,176
1000005,2,49,3,16.333333333333332,1.0,62
1000006,2,45,4,11.25,0.9875,80
1000007,3,176,4,44.0,1.0,343
1000008,3,31,4,7.75,1.0,59
1000009,3,54,4,13.5,1.0,126
1000010,3,65,4,16.25,1.0,88
1000011,2,23,3,7.666666666666667,1.0,44
1000012,3,72,4,18.0,1.0,116
1000013,1,30,2,15.0,1.0,30
1000014,1,37,2,18.5,1.0,37
1000015,2,30,3,10.0,1.0,32
1000017,2,30,3,10.0,1.0,39
1000018,3,222,4,55.5,1.0,442
1000019,2,149,3,49.666666666666664,1.0,164
1000020,4,400,6,66.66666666666667,0.9986996098829649,769
1000021,3,95,3,31.666666666666668,0.9918032786885246,122
1000022,2,136,3,45.333333333333336,1.0,162
1000023,3,406,4,101.5,0.9982517482517482,572
1000024,5,472,4,118.0,1.0,573
1000025,4,570,4,142.5,0.9988558352402745,874
1000026,2,10,3,3.3333333333333335,1.0,18
1000027,2,12,3,4.0,1.0,20
1000028,2,11,3,3.6666666666666665,1.0,21
1000029,3,201,4,50.25,0.9960474308300395,253
1000030,2,17,3,5.666666666666667,1.0,28
1000031,1,14,2,7.0,1.0,14
1000032,2,87,3,29.0,1.0,143
1000033,2,50,3,16.666666666666668,1.0,68
1000034,4,65,3,21.666666666666668,1.0,100
1000035,2,18,3,6.0,1.0,36
1000036,1,20,2,10.0,1.0,20
1000037,3,27,3,9.0,0.972972972972973,37
1000038,2,3,3,1.0,1.0,5
1000039,1,64,2,32.0,1.0,64
1000040,2,80,3,26.666666666666668,1.0,101
1000041,1,48,2,24.0,1.0,48
1000042,2,66,3,22.0,1.0,73
1000043,2,12,3,4.0,1.0,21
1000044,2,16,3,5.333333333333333,1.0,28
1000045,2,266,3,88.66666666666667,1.0,314
1000046,2,18,3,6.0,1.0,20
1000047,2,43,3,14.333333333333334,1.0,71
1000048,1,21,2,10.5,1.0,21
1000049,2,12,3,4.0,1.0,22
1000050,2,49,3,16.333333333333332,1.0,54
1000051,1,29,2,14.5,1.0,29
1000052,2,34,4,8.5,0.9761904761904762,42
1000053,1,287,2,143.5,1.0,287
1000054,1,20,2,10.0,1.0,20
1000055,2,7,3,2.3333333333333335,1.0,11
1000056,1,42,2,21.0,1.0,42
1000057,1,163,2,81.5,1.0,163
1000058,2,35,3,11.666666666666666,1.0,53
1000059,2,13,3,4.333333333333333,1.0,15
1000060,2,13,4,3.25,0.9629629629629629,27
1000061,3,3,4,0.75,1.0,7
1000062,2,3,4,0.75,0.8571428571428571,7
1000063,2,339,3,113.0,1.0,357
1000064,1,23,2,11.5,1.0,23
1000065,1,101,2,50.5,1.0,101
1000066,1,7,2,3.5,1.0,7
1000067,2,10,3,3.3333333333333335,1.0,13
1000068,1,8,2,4.0,1.0,8
1000069,1,5,3,1.6666666666666667,0.8333333333333334,6
1000070,2,9,3,3.0,1.0,11
1000071,2,48,2,24.0,1.0,55
1000072,1,13,2,6.5,1.0,13
1000073,1,11,2,5.5,1.0,11
1000074,2,15,3,5.0,1.0,20
1000075,2,7,3,2.3333333333333335,1.0,11
1000076,2,32,3,10.666666666666666,1.0,36
