KNOT_ID,CORD_ID,CLUSTER_ORDINAL,knot_type,NUM_TURNS,DIRECTION,KHIPU_ID,CORD_LEVEL
1000000,3000003,1.0,S,0.0,Z,1000000,1
1000001,3000003,1.0,L,8.0,Z,1000000,1
1000002,3000004,1.0,E,0.0,S,1000000,1
1000003,3000006,1.0,S,0.0,Z,1000000,1
1000004,3000007,1.0,E,0.0,Z,1000000,1
1000006,3000009,2.0,S,0.0,Z,1000000,1
1000005,3000009,1.0,S,0.0,Z,1000000,1
1000007,3000009,1.0,L,8.0,Z,1000000,1
1039975,3000010,2.0,S,0.0,Z,1000000,1
1000008,3000010,1.0,S,0.0,Z,1000000,1
1000009,3000014,1.0,L,9.0,Z,1000000,2
1000010,3000016,1.0,L,2.0,Z,1000000,2
1000011,3000017,1.0,L,3.0,Z,1000000,2
1000012,3000018,1.0,L,8.0,Z,1000000,2
1000014,3000019,2.0,S,0.0,Z,1000001,1
1000013,3000019,1.0,S,0.0,Z,1000001,1
1000023,3000020,9.0,S,0.0,Z,1000001,1
1000022,3000020,8.0,S,0.0,Z,1000001,1
1000021,3000020,7.0,S,0.0,Z,1000001,1
1000020,3000020,6.0,S,0.0,Z,1000001,1
1000019,3000020,5.0,S,0.0,Z,1000001,1
1000018,3000020,4.0,S,0.0,Z,1000001,1
1000017,3000020,3.0,S,0.0,Z,1000001,1
1000016,3000020,2.0,S,0.0,Z,1000001,1
1000015,3000020,1.0,S,0.0,Z,1000001,1
1000024,3000020,1.0,S,9.0,Z,1000001,1
1000027,3000021,2.0,S,0.0,Z,1000001,1
1000025,3000021,1.0,S,0.0,Z,1000001,1
1000026,3000021,1.0,S,0.0,Z,1000001,1
1000028,3000022,1.0,S,0.0,Z,1000001,1
1000034,3000023,6.0,S,0.0,Z,1000001,1
1000033,3000023,5.0,S,0.0,Z,1000001,1
1000032,3000023,4.0,S,0.0,Z,1000001,1
1000031,3000023,3.0,S,0.0,Z,1000001,1
1000030,3000023,2.0,S,0.0,Z,1000001,1
1000029,3000023,1.0,S,0.0,Z,1000001,1
1000035,3000023,1.0,L,8.0,Z,1000001,1
1000036,3000024,1.0,L,5.0,Z,1000001,1
1000038,3000025,2.0,S,0.0,Z,1000002,1
1000040,3000025,2.0,S,0.0,Z,1000002,1
1000037,3000025,1.0,S,0.0,Z,1000002,1
1000039,3000025,1.0,S,0.0,Z,1000002,1
1000041,3000025,1.0,L,2.0,Z,1000002,1
1000045,3000026,4.0,S,0.0,Z,1000002,1
1000044,3000026,3.0,S,0.0,Z,1000002,1
1000043,3000026,2.0,S,0.0,Z,1000002,1
1000042,3000026,1.0,S,0.0,Z,1000002,1
1000049,3000027,4.0,S,0.0,Z,1000002,1
1000048,3000027,3.0,S,0.0,Z,1000002,1
1000047,3000027,2.0,S,0.0,Z,1000002,1
1000046,3000027,1.0,S,0.0,Z,1000002,1
1000050,3000027,1.0,L,5.0,Z,1000002,1
1000056,3000028,5.0,S,0.0,Z,1000002,1
1000055,3000028,4.0,S,0.0,Z,1000002,1
1000060,3000028,4.0,S,0.0,Z,1000002,1
1000054,3000028,3.0,S,0.0,Z,1000002,1
1000059,3000028,3.0,S,0.0,Z,1000002,1
1000053,3000028,2.0,S,0.0,Z,1000002,1
1000058,3000028,2.0,S,0.0,Z,1000002,1
1000051,3000028,1.0,S,0.0,Z,1000002,1
1000052,3000028,1.0,S,0.0,Z,1000002,1
1000057,3000028,1.0,S,0.0,Z,1000002,1
1000061,3000028,1.0,L,3.0,Z,1000002,1
1000066,3000029,5.0,S,0.0,Z,1000002,1
1000065,3000029,4.0,S,0.0,Z,1000002,1
1000064,3000029,3.0,S,0.0,Z,1000002,1
