khipu_id,kfg_pp,kfg_ip,kfg_cp,kfg_sp,kfg_gg,kfg_gsb,kfg_is,kfg_psn,kfg_adg,kfg_any,kcat_pp,kcat_ip,kcat_cp,kcat_sp,kcat_gg,kcat_gsb,kcat_is,kcat_psn,kcat_adg,kcat_any,_merge
CM009,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,both
KH0001,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,both
KH0002,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,both
KH0003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,both
KH0004,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,both
KH0005,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,both
KH0006,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,both
KH0007,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,both
KH0008,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,both
KH0009,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,both
KH0010,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,both
KH0011,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,both
KH0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,both
KH0013,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,both
KH0014,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,both
KH0015,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,both
KH0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,both
KH0018,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,both
KH0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,both
KH0021,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,both
KH0022,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,both
KH0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0024,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,both
KH0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0026,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,both
KH0027,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,both
KH0028,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,both
KH0029,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,both
KH0030,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,both
KH0031,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,both
KH0032,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,both
KH0033,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,both
KH0034,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,both
KH0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0036,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,both
KH0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0038,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,both
KH0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0040,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,both
KH0041,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,both
KH0042,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,both
KH0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0046,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,both
KH0047,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,both
KH0048,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,both
KH0049,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,both
KH0050,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,both
KH0051,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,both
KH0052,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,both
KH0053,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,both
