khipu_id,cord_id,numeric_value,confidence,num_clusters,validation_notes
1000000,3000001,,0.0,0,No knots found
1000000,3000002,,0.0,0,No knots found
1000000,3000003,180.0,1.0,2,Decoded 2/2 knots
1000000,3000004,1.0,1.0,1,Decoded 1/1 knots
1000000,3000005,,0.0,0,No knots found
1000000,3000006,100.0,1.0,1,Decoded 1/1 knots
1000000,3000007,1.0,1.0,1,Decoded 1/1 knots
1000000,3000008,,0.0,0,No knots found
1000000,3000009,280.0,1.0,2,Decoded 3/3 knots
1000000,3000010,200.0,1.0,1,Decoded 2/2 knots
1000000,3000011,,0.0,0,No knots found
1000000,3000012,,0.0,0,No knots found
1000000,3000013,,0.0,0,No knots found
1000000,3000014,90.0,1.0,1,Decoded 1/1 knots
1000000,3000015,,0.0,0,No knots found
1000000,3000016,20.0,1.0,1,Decoded 1/1 knots
1000000,3000017,30.0,1.0,1,Decoded 1/1 knots
1000000,3000018,80.0,1.0,1,Decoded 1/1 knots
1000001,3000019,200.0,1.0,1,Decoded 2/2 knots
1000001,3000020,1000.0,1.0,2,Decoded 10/10 knots
1000001,3000021,300.0,1.0,2,Decoded 3/3 knots
1000001,3000022,100.0,1.0,1,Decoded 1/1 knots
1000001,3000023,680.0,1.0,2,Decoded 7/7 knots
1000001,3000024,50.0,1.0,1,Decoded 1/1 knots
1000002,3000025,420.0,1.0,3,Decoded 5/5 knots
1000002,3000026,400.0,1.0,1,Decoded 4/4 knots
1000002,3000027,450.0,1.0,2,Decoded 5/5 knots
1000002,3000028,1030.0,1.0,4,Decoded 11/11 knots
1000002,3000029,540.0,1.0,2,Decoded 6/6 knots
1000002,3000030,980.0,1.0,3,Decoded 10/10 knots
1000002,3000031,440.0,1.0,2,Decoded 5/5 knots
1000002,3000032,140.0,1.0,2,Decoded 2/2 knots
1000002,3000033,,0.0,0,No knots found
1000002,3000034,840.0,1.0,2,Decoded 9/9 knots
1000002,3000035,160.0,1.0,2,Decoded 2/2 knots
1000002,3000036,860.0,1.0,2,Decoded 9/9 knots
1000002,3000037,,0.0,0,No knots found
1000002,3000038,160.0,1.0,2,Decoded 2/2 knots
1000002,3000039,170.0,1.0,2,Decoded 2/2 knots
1000002,3000040,100.0,1.0,1,Decoded 1/1 knots
1000002,3000041,340.0,1.0,2,Decoded 4/4 knots
1000002,3000042,1070.0,1.0,3,Decoded 11/11 knots
1000002,3000043,160.0,1.0,2,Decoded 2/2 knots
1000002,3000044,640.0,1.0,2,Decoded 7/7 knots
1000002,3000045,1301.0,1.0,3,Decoded 14/14 knots
1000002,3000046,270.0,1.0,2,Decoded 3/3 knots
1000002,3000047,690.0,1.0,2,Decoded 7/7 knots
1000002,3000048,1280.0,1.0,3,Decoded 13/13 knots
1000002,3000049,21.0,1.0,2,Decoded 2/2 knots
1000002,3000050,270.0,1.0,2,Decoded 3/3 knots
1000002,3000051,300.0,1.0,1,Decoded 3/3 knots
1000002,3000052,30.0,1.0,1,Decoded 1/1 knots
1000002,3000053,2.0,1.0,1,Decoded 2/2 knots
1000002,3036578,850.0,1.0,3,Decoded 9/9 knots
1000003,3000054,,0.0,0,No knots found
1000003,3000055,,0.0,0,No knots found
1000003,3000056,630.0,1.0,3,Decoded 7/7 knots
1000003,3000057,330.0,1.0,3,Decoded 4/4 knots
1000003,3000058,270.0,1.0,3,Decoded 3/3 knots
1000003,3000059,750.0,1.0,2,Decoded 8/8 knots
1000003,3000060,100.0,1.0,1,Decoded 1/1 knots
1000003,3000061,100.0,1.0,1,Decoded 1/1 knots
1000003,3000062,200.0,1.0,1,Decoded 2/2 knots
1000003,3000063,801.0,0.6230769230769231,3,Decoded 9/13 knots (4 issues)
1000003,3000064,690.0,1.0,3,Decoded 7/7 knots
1000003,3000065,460.0,1.0,3,Decoded 5/5 knots
1000003,3000066,700.0,1.0,1,Decoded 7/7 knots
1000003,3000067,190.0,1.0,2,Decoded 2/2 knots
1000003,3000068,60.0,1.0,1,Decoded 1/1 knots
1000003,3000069,101.0,1.0,2,Decoded 2/2 knots
1000003,3000070,290.0,1.0,2,Decoded 3/3 knots
1000003,3000071,1080.0,1.0,3,Decoded 11/11 knots
1000003,3000072,70.0,1.0,1,Decoded 1/1 knots
1000003,3000073,730.0,1.0,3,Decoded 8/8 knots
1000003,3000074,200.0,1.0,1,Decoded 2/2 knots
1000003,3000075,930.0,1.0,3,Decoded 10/10 knots
1000003,3000076,950.0,1.0,2,Decoded 10/10 knots
1000003,3000077,160.0,1.0,2,Decoded 2/2 knots
1000003,3000078,301.0,1.0,2,Decoded 4/4 knots
1000003,3000079,40.0,1.0,1,Decoded 1/1 knots
1000003,3000080,60.0,1.0,1,Decoded 1/1 knots
1000003,3000081,101.0,1.0,2,Decoded 2/2 knots
1000003,3000082,200.0,1.0,3,Decoded 3/3 knots
1000003,3000083,,0.0,0,No knots found
1000003,3000084,,0.0,0,No knots found
1000003,3000085,250.0,1.0,2,Decoded 3/3 knots
1000003,3000086,260.0,1.0,2,Decoded 3/3 knots
1000003,3000087,240.0,1.0,2,Decoded 3/3 knots
1000003,3000088,,0.0,0,No knots found
1000003,3000089,140.0,0.6,3,Decoded 2/3 knots (1 issues)
1000003,3000090,,0.0,0,No knots found
1000003,3000091,1.0,1.0,1,Decoded 1/1 knots
1000004,3000092,,0.0,0,No knots found
1000004,3000093,30.0,1.0,1,Decoded 1/1 knots
1000004,3000094,340.0,1.0,2,Decoded 4/4 knots
1000004,3000095,220.0,1.0,2,Decoded 3/3 knots
1000004,3000096,,0.0,0,No knots found
1000004,3000097,280.0,1.0,2,Decoded 3/3 knots
1000004,3000098,320.0,1.0,2,Decoded 4/4 knots
1000004,3000099,50.0,1.0,1,Decoded 1/1 knots
1000004,3000100,30.0,1.0,1,Decoded 1/1 knots
1000004,3000101,280.0,1.0,2,Decoded 3/3 knots
1000004,3000102,70.0,1.0,1,Decoded 1/1 knots
1000004,3000103,101.0,1.0,2,Decoded 2/2 knots
1000004,3000104,20.0,1.0,1,Decoded 1/1 knots
1000004,3000105,20.0,1.0,1,Decoded 1/1 knots
1000004,3000106,101.0,1.0,2,Decoded 2/2 knots
1000004,3000107,90.0,1.0,1,Decoded 1/1 knots
1000004,3000108,40.0,1.0,1,Decoded 1/1 knots
1000004,3000109,120.0,1.0,2,Decoded 2/2 knots
1000004,3000110,20.0,1.0,1,Decoded 1/1 knots
1000004,3000111,140.0,1.0,2,Decoded 2/2 knots
1000004,3000112,40.0,1.0,1,Decoded 1/1 knots
1000004,3000113,30.0,1.0,1,Decoded 1/1 knots
1000004,3000114,1.0,1.0,1,Decoded 1/1 knots
1000004,3000115,100.0,1.0,1,Decoded 1/1 knots
1000004,3000116,30.0,1.0,1,Decoded 1/1 knots
1000004,3000117,20.0,1.0,1,Decoded 1/1 knots
1000004,3000118,20.0,1.0,1,Decoded 1/1 knots
1000004,3000119,,0.0,0,No knots found
1000004,3000120,20.0,1.0,1,Decoded 1/1 knots
1000004,3000121,40.0,0.3,3,Decoded 1/3 knots (2 issues)
1000004,3000122,201.0,1.0,2,Decoded 3/3 knots
1000004,3000123,600.0,1.0,1,Decoded 6/6 knots
1000004,3000124,100.0,1.0,1,Decoded 1/1 knots
1000004,3000125,200.0,1.0,1,Decoded 2/2 knots
1000004,3000126,160.0,1.0,2,Decoded 2/2 knots
