kfg_id,parent_name,parent_val,children_sum,n_children,n_nonzero_children,n_zero_children,children_mean,children_max,ratio,compliance_class
KH0001,p10,110,49,1,1,0,49.0,49,0.44545454545454544,sub
KH0001,p10s1,49,58,1,1,0,58.0,58,1.183673469387755,partial_supra
KH0001,p16,57,60,1,1,0,60.0,60,1.0526315789473684,partial_supra
KH0001,p18,26,39,1,1,0,39.0,39,1.5,partial_supra
KH0001,p20,110,55,1,1,0,55.0,55,0.5,partial_sub
KH0001,p20s1,55,65,1,1,0,65.0,65,1.1818181818181819,partial_supra
KH0001,p25,54,116,1,1,0,116.0,116,2.1481481481481484,supra
KH0001,p26,100,30,1,1,0,30.0,30,0.3,sub
KH0001,p26s1,30,104,1,1,0,104.0,104,3.466666666666667,supra
KH0001,p27,100,115,1,1,0,115.0,115,1.15,partial_supra
KH0001,p31,41,84,1,1,0,84.0,84,2.048780487804878,supra
KH0001,p35,22,110,1,1,0,110.0,110,5.0,supra
KH0001,p38,53,17,1,1,0,17.0,17,0.32075471698113206,sub
KH0001,p45,80,48,1,1,0,48.0,48,0.6,partial_sub
KH0001,p45s1,48,140,1,1,0,140.0,140,2.9166666666666665,supra
KH0001,p46,49,160,1,1,0,160.0,160,3.2653061224489797,supra
KH0001,p48,45,88,1,1,0,88.0,88,1.9555555555555555,supra
KH0001,p58,70,66,1,1,0,66.0,66,0.9428571428571428,partial_sub
KH0001,p58s1,66,46,1,1,0,46.0,46,0.696969696969697,partial_sub
KH0001,p59,55,30,1,1,0,30.0,30,0.5454545454545454,partial_sub
KH0001,p6,60,37,1,1,0,37.0,37,0.6166666666666667,partial_sub
KH0001,p60,123,121,1,1,0,121.0,121,0.983739837398374,compliant
KH0001,p61,78,77,1,1,0,77.0,77,0.9871794871794872,compliant
KH0001,p62,10,87,1,1,0,87.0,87,8.7,supra
KH0001,p63,28,22,1,1,0,22.0,22,0.7857142857142857,partial_sub
KH0001,p64,84,19,1,1,0,19.0,19,0.2261904761904762,sub
KH0001,p65,79,54,1,1,0,54.0,54,0.6835443037974683,partial_sub
KH0001,p67,24,42,1,1,0,42.0,42,1.75,supra
KH0001,p68,53,88,1,1,0,88.0,88,1.6603773584905661,supra
KH0001,p71,161,110,1,1,0,110.0,110,0.6832298136645962,partial_sub
KH0001,p71s1,110,31,1,1,0,31.0,31,0.2818181818181818,sub
KH0001,p71s1s1,31,13,1,1,0,13.0,13,0.41935483870967744,sub
KH0001,p72,77,87,1,1,0,87.0,87,1.12987012987013,partial_supra
KH0001,p72s1,87,80,1,1,0,80.0,80,0.9195402298850575,partial_sub
KH0001,p74,85,63,1,1,0,63.0,63,0.7411764705882353,partial_sub
KH0001,p75,223,63,1,1,0,63.0,63,0.2825112107623318,sub
KH0001,p76,36,100,1,1,0,100.0,100,2.7777777777777777,supra
KH0001,p79,42,91,1,1,0,91.0,91,2.1666666666666665,supra
KH0001,p8,67,43,1,1,0,43.0,43,0.6417910447761194,partial_sub
KH0001,p81,26,150,2,2,0,75.0,99,5.769230769230769,supra
KH0001,p82,46,138,1,1,0,138.0,138,3.0,supra
KH0001,p82s1,138,59,1,1,0,59.0,59,0.427536231884058,sub
KH0001,p84,21,52,1,1,0,52.0,52,2.4761904761904763,supra
KH0001,p84s1,52,39,1,1,0,39.0,39,0.75,partial_sub
KH0001,p86,110,19,1,1,0,19.0,19,0.17272727272727273,sub
KH0001,p87,128,21,1,1,0,21.0,21,0.1640625,sub
KH0001,p89,121,34,1,1,0,34.0,34,0.2809917355371901,sub
KH0001,p89s1,34,71,1,1,0,71.0,71,2.088235294117647,supra
KH0001,p93,25,125,1,1,0,125.0,125,5.0,supra
KH0001,p94,127,130,1,1,0,130.0,130,1.0236220472440944,compliant
KH0001,p94s1,130,31,1,1,0,31.0,31,0.23846153846153847,sub
KH0001,p94s1s1,31,147,1,1,0,147.0,147,4.741935483870968,supra
KH0001,p95,47,124,1,1,0,124.0,124,2.6382978723404253,supra
