primary_color,n,median,mean,std,p25,p75,pct_ge10,pct_ge100,pct_ge1000
W%AB,83,126.0,823.6626506024096,2974.0290084906887,2.0,467.5,62.65060240963856,54.21686746987952,10.843373493975903
DB-CB,44,125.0,138.3181818181818,47.2916594875085,100.0,150.0,100.0,97.72727272727273,0.0
MB-KB,37,90.0,263.2162162162162,386.9652679745543,10.0,323.0,81.08108108108108,48.64864864864865,13.513513513513514
YG,224,80.5,457.86160714285717,2218.5680538268557,13.75,120.0,77.67857142857143,45.535714285714285,4.910714285714286
W%MB,101,70.0,301.4257425742574,1485.9464953122279,4.0,164.0,70.29702970297029,41.584158415841586,3.9603960396039604
NB,801,42.0,309.02247191011236,974.4030657250532,13.0,157.0,80.77403245942571,32.70911360799001,8.98876404494382
AB-GG,46,41.0,224.0,300.264327995629,4.5,302.25,71.73913043478261,45.65217391304348,2.1739130434782608
W-B,47,40.0,121.2127659574468,233.17607977945252,20.0,100.0,82.97872340425532,34.04255319148936,2.127659574468085
W-BY,48,22.0,43.958333333333336,60.237105385702485,12.75,33.0,97.91666666666666,12.5,0.0
W-DB,64,21.0,302.125,461.5597263111037,14.5,430.0,89.0625,37.5,15.625
LK,445,20.0,48.880898876404494,527.3066758325446,8.0,28.0,66.96629213483146,3.146067415730337,0.22471910112359553
W-MB,161,20.0,358.24844720496895,1866.1158124264955,7.0,111.0,65.83850931677019,29.19254658385093,6.211180124223603
0D,79,20.0,39.278481012658226,60.258191635673576,13.0,29.5,83.54430379746836,8.860759493670885,0.0
LA,54,19.5,74.38888888888889,184.88062611304,4.0,46.25,61.111111111111114,22.22222222222222,1.8518518518518516
GL,118,16.5,638.5593220338983,1812.0393268612702,2.0,603.75,55.932203389830505,36.440677966101696,16.101694915254235
DB,532,15.0,84.78947368421052,302.88008734307783,6.0,53.25,68.796992481203,19.924812030075188,1.3157894736842104
G,97,14.0,87.87628865979381,418.870163299738,6.0,35.0,65.97938144329896,9.278350515463918,1.0309278350515463
