cord_id,kfg_id,cord_name,hierarchy_level,value_num,primary_color,is_banded,attachment,twist,beh_label,typology_label
1,CM009,p1,0,1,W,False,Unknown,U,B3,T1
2,CM009,p2,0,1,GG,False,Unknown,U,B3,T1
3,CM009,p3,0,1,W,False,Unknown,U,B3,T1
4,CM009,p4,0,0,AB,False,Unknown,U,B3,T1
5,CM009,p5,0,0,W,True,Unknown,U,B3,T1
6,CM009,p6,0,4,W,False,Unknown,U,B3,T1
7,CM009,p7,0,0,AB,False,Unknown,U,B3,T1
8,CM009,p8,0,0,GG,False,Unknown,U,B3,T1
9,CM009,p9,0,0,W,True,Unknown,U,B3,T1
10,CM009,p10,0,8,W,False,Unknown,U,B3,T1
11,CM009,p11,0,2,AB,False,Unknown,U,B3,T1
12,CM009,p12,0,1,GG,False,Unknown,U,B3,T1
13,CM009,p13,0,0,W,True,Unknown,U,B3,T1
14,CM009,p14,0,8,W,False,Unknown,U,B3,T1
15,CM009,p15,0,1,AB,False,Unknown,U,B3,T1
16,CM009,p16,0,3,GG,False,Unknown,U,B3,T1
17,CM009,p17,0,1,W,True,Unknown,U,B3,T1
18,CM009,p18,0,56,W,False,Unknown,U,B3,T1
19,CM009,p19,0,5,AB,False,Unknown,U,B3,T1
20,CM009,p20,0,4,GG,False,Unknown,U,B3,T1
21,CM009,p21,0,1,W,True,Unknown,U,B3,T1
22,CM009,p22,0,1213,W,False,Unknown,U,B3,T1
23,CM009,p23,0,43,AB,False,Unknown,U,B3,T1
24,CM009,p24,0,60,GG,False,Unknown,U,B3,T1
25,CM009,p25,0,17,W,True,Unknown,U,B3,T1
26,CM009,p26,0,2,W,False,Unknown,U,B3,T1
27,CM009,p27,0,0,AB,False,Unknown,U,B3,T1
28,CM009,p28,0,1,GG,False,Unknown,U,B3,T1
29,CM009,p29,0,0,W,True,Unknown,U,B3,T1
30,CM009,p30,0,8,W,False,Unknown,U,B3,T1
31,CM009,p31,0,1,AB,False,Unknown,U,B3,T1
32,CM009,p32,0,1,GG,False,Unknown,U,B3,T1
33,CM009,p33,0,0,W,True,Unknown,U,B3,T1
34,CM009,p34,0,8,W,False,Unknown,U,B3,T1
35,CM009,p35,0,1,AB,False,Unknown,U,B3,T1
36,CM009,p36,0,3,GG,False,Unknown,U,B3,T1
37,CM009,p37,0,1,W,True,Unknown,U,B3,T1
38,CM009,p38,0,57,W,False,Unknown,U,B3,T1
39,CM009,p39,0,5,AB,False,Unknown,U,B3,T1
40,CM009,p40,0,6,GG,False,Unknown,U,B3,T1
41,CM009,p41,0,2,W,True,Unknown,U,B3,T1
42,CM009,p42,0,1236,W,False,Unknown,U,B3,T1
43,CM009,p43,0,46,AB,False,Unknown,U,B3,T1
44,CM009,p44,0,59,GG,False,Unknown,U,B3,T1
45,CM009,p45,0,10,W,True,Unknown,U,B3,T1
46,CM009,p46,0,1,W,False,Unknown,U,B3,T1
47,CM009,p47,0,0,AB,False,Unknown,U,B3,T1
48,CM009,p48,0,0,GG,False,Unknown,U,B3,T1
49,CM009,p49,0,0,W,True,Unknown,U,B3,T1
50,CM009,p50,0,3,W,False,Unknown,U,B3,T1
51,CM009,p51,0,1,AB,False,Unknown,U,B3,T1
52,CM009,p52,0,1,GG,False,Unknown,U,B3,T1
53,CM009,p53,0,0,W,True,Unknown,U,B3,T1
54,CM009,p54,0,6,W,False,Unknown,U,B3,T1
55,CM009,p55,0,1,AB,False,Unknown,U,B3,T1
56,CM009,p56,0,3,GG,False,Unknown,U,B3,T1
57,CM009,p57,0,0,W,True,Unknown,U,B3,T1
58,CM009,p58,0,33,W,False,Unknown,U,B3,T1
59,CM009,p59,0,3,AB,False,Unknown,U,B3,T1
60,CM009,p60,0,2,GG,False,Unknown,U,B3,T1
61,CM009,p61,0,0,W,True,Unknown,U,B3,T1
62,CM009,p62,0,459,W,False,Unknown,U,B3,T1
63,CM009,p63,0,44,AB,False,Unknown,U,B3,T1
64,CM009,p64,0,39,GG,False,Unknown,U,B3,T1
65,CM009,p65,0,13,W,True,Unknown,U,B3,T1
66,HM45419A,p1,0,0,YB,True,R,U,B2,T1
67,HM45419A,p2,0,0,MB,False,R,U,B2,T1
68,HM45419A,p3,0,1,MB,False,R,U,B2,T1
69,HM45419A,p4,0,0,MB,False,R,U,B2,T1
70,HM45419A,p5,0,0,YB,True,R,U,B2,T1
71,HM45419A,p6,0,1,YB,False,R,U,B2,T1
72,HM45419A,p7,0,0,MB,False,R,U,B2,T1
73,HM45419A,p8,0,0,YB,True,R,U,B2,T1
74,HM45419A,p9,0,2,YB,False,R,U,B2,T1
75,HM45419A,p10,0,3,MB,False,V,U,B2,T1
76,HM45419A,p11,0,0,YB,True,R,U,B2,T1
77,HM45419A,p12,0,1,MB,False,R,U,B2,T1
78,HM45419A,p13,0,0,YB,False,V,U,B2,T1
79,HM45419A,p14,0,0,MB,False,R,U,B2,T1
80,HM45419A,p15,0,4,YB,True,R,U,B2,T1
81,HM45419A,p16,0,2,YB,False,R,U,B2,T1
82,HM45419A,p17,0,0,MB,False,R,U,B2,T1
83,HM45419A,p18,0,0,YB,True,R,U,B2,T1
84,HM45419A,p19,0,0,YB,False,R,U,B2,T1
85,HM45419A,p20,0,0,MB,False,R,U,B2,T1
86,HM45419A,p21,0,0,YB,True,R,U,B2,T1
87,HM45419A,p22,0,1,YB,False,R,U,B2,T1
88,HM45419A,p23,0,0,MB,False,R,U,B2,T1
89,HM45419A,p24,0,0,YB,False,R,U,B2,T1
90,HM45419C,p1,0,0,KB,False,R,S,B2,T1
91,HM45419C,p2,0,5,MB,False,R,S,B2,T1
92,HM45419C,p3,0,4,KB,False,V,S,B2,T1
93,HM45419C,p4,0,4,DB,False,V,S,B2,T1
94,HM45419C,p5,0,0,MB,False,V,S,B2,T1
95,HM45419C,p6,0,0,KB,False,V,S,B2,T1
96,HM45419C,p7,0,0,YB,False,V,S,B2,T1
97,HM45419C,p8,0,0,MB,False,V,S,B2,T1
98,HM45419C,p9,0,0,MB,False,V,S,B2,T1
99,HM45419C,p10,0,0,DB,False,R,S,B2,T1
100,HM45419C,p11,0,0,YB,False,R,S,B2,T1
101,HM45419C,p12,0,0,DB,False,R,S,B2,T1
102,HM45419C,p13,0,1,MB,False,R,S,B2,T1
103,HM45419C,p14,0,0,DB,False,V,S,B2,T1
104,HM45419C,p15,0,0,YB,False,V,S,B2,T1
105,HM45419C,p16,0,0,DB,False,R,S,B2,T1
106,HM45419C,p17,0,0,MB,False,R,S,B2,T1
107,HM45419C,p18,0,0,MB,False,R,S,B2,T1
108,HM45419C,p19,0,0,YB,False,R,S,B2,T1
109,HM45419C,p20,0,0,DB,False,R,S,B2,T1
110,HM45419C,p21,0,0,DB,False,R,S,B2,T1
111,HM45419C,p22,0,0,DB,False,V,S,B2,T1
112,HM45419C,p23,0,0,YB,False,V,S,B2,T1
