cord_id,khipu_id,numeric_value,confidence,method
3000001,1000000,0,0.0,ascher_decimal
3000014,1000000,9.0,1.0,ascher_decimal
3000015,1000000,0,0.0,ascher_decimal
3000016,1000000,2.0,1.0,ascher_decimal
3000017,1000000,3.0,1.0,ascher_decimal
3000018,1000000,8.0,1.0,ascher_decimal
3000002,1000000,0,0.0,ascher_decimal
3000003,1000000,8.0,1.0,ascher_decimal
3000004,1000000,1,1.0,ascher_decimal
3000005,1000000,0,0.0,ascher_decimal
3000006,1000000,1,1.0,ascher_decimal
3000007,1000000,1,1.0,ascher_decimal
3000008,1000000,0,0.0,ascher_decimal
3000009,1000000,18.0,1.0,ascher_decimal
3000010,1000000,11,1.0,ascher_decimal
3000011,1000000,0,0.0,ascher_decimal
3000012,1000000,0,0.0,ascher_decimal
3000013,1000000,0,0.0,ascher_decimal
3000019,1000001,11,1.0,ascher_decimal
3000020,1000001,111111112,1.0,ascher_decimal
3000021,1000001,12,1.0,ascher_decimal
3000022,1000001,1,1.0,ascher_decimal
3000023,1000001,111118.0,1.0,ascher_decimal
3000024,1000001,5.0,1.0,ascher_decimal
3000025,1000002,22.0,1.0,ascher_decimal
3000049,1000002,2.0,1.0,ascher_decimal
3000050,1000002,17.0,1.0,ascher_decimal
3000051,1000002,111,1.0,ascher_decimal
3000052,1000002,3.0,1.0,ascher_decimal
3000053,1000002,11,0.8,ascher_decimal
3036578,1000002,1111115.0,1.0,ascher_decimal
3000026,1000002,1111,1.0,ascher_decimal
3000027,1000002,1115.0,1.0,ascher_decimal
3000028,1000002,12223.0,1.0,ascher_decimal
3000029,1000002,11114.0,1.0,ascher_decimal
3000030,1000002,1111128.0,1.0,ascher_decimal
3000031,1000002,1114.0,1.0,ascher_decimal
3000032,1000002,4.0,1.0,ascher_decimal
3000033,1000002,0,0.0,ascher_decimal
3000034,1000002,11111114.0,1.0,ascher_decimal
3000035,1000002,6.0,1.0,ascher_decimal
3000036,1000002,11111116.0,1.0,ascher_decimal
3000037,1000002,0,0.0,ascher_decimal
3000038,1000002,6.0,1.0,ascher_decimal
3000039,1000002,7.0,1.0,ascher_decimal
3000040,1000002,1,1.0,ascher_decimal
3000041,1000002,114.0,1.0,ascher_decimal
3000042,1000002,112227.0,1.0,ascher_decimal
3000043,1000002,6.0,1.0,ascher_decimal
3000044,1000002,111114.0,1.0,ascher_decimal
3000045,1000002,1222223,1.0,ascher_decimal
3000046,1000002,17.0,1.0,ascher_decimal
3000047,1000002,111119.0,1.0,ascher_decimal
3000048,1000002,111111228.0,1.0,ascher_decimal
3000054,1000003,0,0.0,ascher_decimal
3000085,1000003,15.0,1.0,ascher_decimal
3000086,1000003,16.0,1.0,ascher_decimal
3000087,1000003,14.0,1.0,ascher_decimal
3000088,1000003,0,0.0,ascher_decimal
3000089,1000003,0.0,1.0,ascher_decimal
3000090,1000003,0,0.0,ascher_decimal
3000091,1000003,1,1.0,ascher_decimal
3000055,1000003,0,0.0,ascher_decimal
3000056,1000003,1123.0,1.0,ascher_decimal
3000057,1000003,13.0,1.0,ascher_decimal
3000058,1000003,7.0,1.0,ascher_decimal
3000059,1000003,1111115.0,1.0,ascher_decimal
3000060,1000003,1,1.0,ascher_decimal
3000061,1000003,1,1.0,ascher_decimal
3000062,1000003,11,1.0,ascher_decimal
3000063,1000003,11110000.0,1.0,ascher_decimal
3000064,1000003,1129.0,1.0,ascher_decimal
3000065,1000003,116.0,1.0,ascher_decimal
3000066,1000003,1111111,1.0,ascher_decimal
3000067,1000003,9.0,1.0,ascher_decimal
3000068,1000003,6.0,1.0,ascher_decimal
3000069,1000003,2,1.0,ascher_decimal
3000070,1000003,19.0,1.0,ascher_decimal
3000071,1000003,111111118.0,1.0,ascher_decimal
3000072,1000003,7.0,1.0,ascher_decimal
3000073,1000003,1223.0,1.0,ascher_decimal
3000074,1000003,11,1.0,ascher_decimal
3000075,1000003,1111123.0,1.0,ascher_decimal
3000076,1000003,111111115.0,1.0,ascher_decimal
3000077,1000003,6.0,1.0,ascher_decimal
3000078,1000003,112,1.0,ascher_decimal
3000079,1000003,4.0,1.0,ascher_decimal
3000080,1000003,6.0,1.0,ascher_decimal
3000081,1000003,2,1.0,ascher_decimal
3000082,1000003,3.0,1.0,ascher_decimal
