kfg_id,has_pp,has_ip,has_cp,has_sp,has_gg,has_gsb,has_is,has_psn,has_adg,n_pp,n_ip,n_cp,n_pattern_types,n_cords,n_pendants,n_subsidiaries,n_groups,numeric_coverage,frac_broken,n_colors,region,creation_date,provenance_display,geo_zone
CM009,1,1,1,0,0,0,0,0,1,25,9,8,4,65,0,0,14,0.7692307692307693,0.0,3,Purucucho,06/16/1970,Purucucho,Central Coast
HM45419A,0,0,0,0,0,0,0,0,1,0,0,0,1,24,0,0,8,0.3333333333333333,0.0,2,"Ica Valley, Peru",02/05/2026,"Ica Valley (Site T, Grave K)",Ica & Paracas
HM45419C,0,0,0,0,0,0,0,0,1,0,0,0,1,37,0,0,10,0.32432432432432434,0.08108108108108109,4,"Ica Valley, Peru",02/05/2026,"Ica Valley (Site T, Grave K)",Ica & Paracas
KH0001,1,0,1,1,0,0,0,0,0,39,0,5,3,156,43,15,6,1.0,0.00641025641025641,5,Unknown,04/23/2012,Chuquitanta,Central Coast
KH0002,1,0,0,0,0,0,0,0,0,1,0,0,1,31,16,1,4,1.0,0.03225806451612903,5,Unknown,01/01/1972,Unknown,
KH0003,1,0,0,0,0,0,0,0,0,1,0,0,1,15,8,0,2,0.8666666666666667,0.13333333333333333,2,Unknown,01/02/1972,Unknown,
KH0004,1,0,0,1,1,0,0,0,0,1,0,0,3,9,2,0,2,1.0,0.0,1,Unknown,01/03/1972,Unknown,
KH0005,1,0,0,0,0,0,0,0,0,2,0,0,1,22,3,0,7,1.0,0.0,2,Unknown,01/04/1972,Unknown,
KH0006,1,1,0,0,0,0,1,1,0,37,4,0,4,59,19,0,11,0.847457627118644,0.1016949152542373,6,Unknown,01/05/1972,Unknown,
KH0007,1,1,1,1,1,0,1,0,0,17,1,1,6,92,50,0,12,0.9565217391304348,0.08695652173913043,4,Unknown,01/06/1972,Unknown,
KH0008,1,1,1,1,1,0,0,1,1,698,94,53,7,171,25,0,37,0.9122807017543859,0.14035087719298245,8,Unknown,01/07/1972,Unknown,
KH0009,1,1,1,1,1,1,0,0,1,445,41,26,7,250,23,0,46,0.788,0.084,7,Unknown,01/08/1972,Unknown,
KH0010,1,0,1,0,0,0,0,0,1,19,0,10,3,33,5,0,5,0.42424242424242425,0.42424242424242425,1,Unknown,01/09/1972,Pachacamac (Nordenskiöld),Central Coast
KH0011,1,1,1,1,0,0,0,0,0,13,4,3,4,28,1,0,13,0.8214285714285714,0.0,2,Unknown,05/24/2012,Unknown,
KH0012,0,0,0,0,0,0,0,1,0,0,0,0,1,24,9,0,2,0.8333333333333334,0.125,2,Unknown,05/24/2012,Unknown,
KH0013,1,0,1,0,0,0,0,1,0,25,0,2,3,106,20,0,7,0.36792452830188677,0.04716981132075472,4,Unknown,05/24/2012,Unknown,
KH0014,1,1,1,0,1,1,0,0,1,52,12,2,6,90,0,0,11,0.4666666666666667,0.34444444444444444,4,Unknown,05/24/2012,Unknown,
KH0015,1,0,0,1,0,0,0,0,0,3,0,0,2,75,29,4,1,1.0,0.0,3,Unknown,11/17/2003,Unknown,
KH0016,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,9,4,0.391304347826087,0.0,3,Unknown,11/17/2003,Unknown,
KH0017,1,0,0,0,0,0,0,0,0,1,0,0,1,11,4,0,1,1.0,0.0,2,Unknown,11/17/2003,Unknown,
KH0018,1,0,1,0,0,0,0,1,0,4,0,2,3,39,19,0,2,0.6923076923076923,0.0,1,Unknown,11/21/2003,Unknown,
KH0019,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,1.0,0.0,2,Unknown,11/10/2011,Unknown,
KH0020,1,0,0,0,0,0,0,0,0,2,0,0,1,9,0,0,2,0.4444444444444444,0.0,1,Unknown,11/21/2003,Unknown,
KH0021,1,0,0,0,0,0,0,0,1,1,0,0,2,10,0,0,2,1.0,0.1,2,Unknown,11/25/2003,Unknown,
KH0022,1,1,0,0,0,0,0,0,0,208,11,0,2,75,15,0,8,0.8,0.12,7,Unknown,11/25/2003,Unknown,
KH0023,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1.0,0.0,2,Unknown,11/25/2003,Unknown,
KH0024,0,0,0,0,0,0,0,0,1,0,0,0,1,8,1,0,1,0.625,0.0,3,Unknown,11/25/2003,Unknown,
KH0025,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0.6666666666666666,0.0,2,Unknown,11/25/2003,Unknown,
KH0026,1,1,0,0,0,0,0,0,0,6,6,0,2,37,13,0,24,0.35135135135135137,0.0,4,Unknown,11/25/2003,Unknown,
KH0027,1,1,1,0,0,1,0,1,0,46,1,12,5,77,23,0,6,0.5324675324675324,0.12987012987012986,5,Unknown,11/25/2003,Unknown,
KH0028,1,1,1,0,0,0,0,1,0,331,32,71,4,260,139,16,13,0.8807692307692307,0.10384615384615385,4,Unknown,12/02/2003,Unknown,
KH0029,0,0,0,1,0,0,0,0,0,0,0,0,1,28,9,0,4,0.7857142857142857,0.10714285714285714,3,Unknown,12/15/2003,Unknown,
KH0030,1,0,1,1,1,0,0,0,1,50,0,3,5,56,7,0,8,0.625,0.07142857142857142,2,Unknown,12/15/2003,Unknown,
KH0031,1,0,1,1,0,0,0,1,1,74,0,1,5,144,49,7,15,0.8472222222222222,0.0763888888888889,9,Unknown,12/16/2003,Aankoop,
KH0032,1,0,0,0,0,0,0,0,0,3,0,0,1,28,6,0,5,0.9285714285714286,0.2857142857142857,3,Unknown,07/30/2003,La Puntilla (Paracas/Pisco),Cañete–Pisco
KH0033,1,1,1,1,0,0,0,0,0,39,5,1,4,66,12,0,10,0.3484848484848485,0.12121212121212122,4,Unknown,08/14/2007,La Puntilla (Paracas/Pisco),Cañete–Pisco
KH0034,0,1,0,0,0,1,0,1,1,0,65,0,4,541,126,0,108,0.4399260628465804,0.2476894639556377,7,Unknown,07/30/2003,Nazca,Nazca & Far South
KH0035,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0.3333333333333333,0.6666666666666666,3,Unknown,07/31/2003,Unknown,
KH0036,0,1,0,0,0,0,0,0,1,0,2,0,2,18,0,0,6,1.0,0.0,2,Unknown,07/31/2003,Unknown,
KH0037,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,8,0.9333333333333333,0.06666666666666667,2,Unknown,07/31/2003,Unknown,
KH0038,1,1,1,0,0,0,0,0,0,21,11,3,3,25,0,0,12,0.92,0.04,3,Unknown,07/31/2003,Unknown,
KH0039,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,2,2,0.8,0.0,2,Unknown,07/31/2003,Unknown,
KH0040,1,0,0,0,0,0,0,0,0,5,0,0,1,21,0,0,3,0.9047619047619048,0.19047619047619047,3,Unknown,07/31/2003,Unknown,
KH0041,0,0,0,1,0,0,0,0,1,0,0,0,2,11,2,0,3,0.45454545454545453,0.45454545454545453,3,Unknown,07/31/2003,Unknown,
