test,chi2,dof,p,significant_p05
cluster_x_geo_zone,45.977439763723986,7,8.830782671450195e-08,True
pattern_PP_x_geo_zone,12.468145043505277,5,0.028906720769196172,True
pattern_IP_x_geo_zone,6.179634048894662,5,0.28913014755586236,False
pattern_CP_x_geo_zone,5.933667671817765,5,0.31272695565314146,False
pattern_SP_x_geo_zone,32.80598604274219,5,4.1124284794649706e-06,True
pattern_GG_x_geo_zone,7.186101845508318,5,0.20716352756378614,False
pattern_GSB_x_geo_zone,4.298606112668825,5,0.507272430733776,False
pattern_IS_x_geo_zone,37.654965576636755,5,4.4258932110857307e-07,True
pattern_PSN_x_geo_zone,25.490249194235783,5,0.00011201908895920976,True
pattern_ADG_x_geo_zone,8.68822757785601,5,0.12216476183123899,False
