kfg_id,provenance_display,n_cords,n_pattern_types,cluster,nn_top_zone,nn_top_weight,nn_zones,nn_dists
KH0002,Unknown,31,1,0,Central Coast,0.82,Central Coast|Central Coast|Cañete–Pisco|Central Coast|Central Coast,0.116|0.142|0.181|0.203|0.217
KH0003,Unknown,15,1,0,Ica & Paracas,1.0,Ica & Paracas|Ica & Paracas|Ica & Paracas|Ica & Paracas|Ica & Paracas,0.108|0.154|0.209|0.219|0.254
KH0004,Unknown,9,3,0,Ica & Paracas,0.602,Ica & Paracas|Central Coast|Ica & Paracas|Chachapoyas|Ica & Paracas,1.001|1.002|1.004|1.087|1.104
KH0005,Unknown,22,1,0,Central Coast,0.876,Central Coast|Central Coast|Central Coast|Cañete–Pisco|Central Coast,0.066|0.200|0.202|0.245|0.255
KH0006,Unknown,59,4,0,Ica & Paracas,0.62,Ica & Paracas|Ica & Paracas|Ica & Paracas|Cañete–Pisco|Central Coast,1.144|1.415|1.429|1.430|1.433
KH0007,Unknown,92,6,0,Ica & Paracas,0.411,Ica & Paracas|Nazca & Far South|Central Coast|Ica & Paracas|Central Coast,1.107|1.198|1.296|1.425|1.432
KH0008,Unknown,171,7,1,Chachapoyas,0.426,Chachapoyas|Ica & Paracas|Chachapoyas|Central Coast|Central Coast,1.038|1.125|1.161|1.268|1.284
KH0009,Unknown,250,7,1,Ica & Paracas,0.386,Central Coast|Ica & Paracas|Chachapoyas|Nazca & Far South|Ica & Paracas,1.198|1.360|1.367|1.444|1.465
KH0011,Unknown,28,4,0,Central Coast,0.844,Central Coast|Central Coast|Central Coast|Central Coast|North Peru Coast,0.444|0.770|0.853|0.915|0.932
KH0012,Unknown,24,1,0,Cañete–Pisco,0.613,Cañete–Pisco|Ica & Paracas|Ica & Paracas|Ica & Paracas|Central Coast,0.071|0.278|0.301|1.001|1.005
KH0013,Unknown,106,3,0,Central Coast,0.609,Central Coast|Central Coast|Ica & Paracas|Central Coast|Cañete–Pisco,1.462|1.518|1.561|1.564|1.585
KH0014,Unknown,90,6,0,Central Coast,0.782,Central Coast|Cañete–Pisco|Central Coast|Central Coast|Central Coast,1.200|1.356|1.481|1.752|1.782
KH0015,Unknown,75,2,0,Ica & Paracas,0.664,Ica & Paracas|Ica & Paracas|Central Coast|Ica & Paracas|Chachapoyas,0.246|0.412|0.420|0.507|0.524
KH0016,Unknown,23,0,0,Central Coast,0.546,Central Coast|Central Coast|Cañete–Pisco|Nazca & Far South|Ica & Paracas,0.199|0.280|0.384|0.392|0.501
KH0017,Unknown,11,1,0,Cañete–Pisco,0.705,Cañete–Pisco|Central Coast|Central Coast|Ica & Paracas|Ica & Paracas,0.007|0.033|0.041|0.236|0.245
KH0018,Unknown,39,3,0,Nazca & Far South,0.404,Nazca & Far South|Cañete–Pisco|North Peru Coast|Ica & Paracas|Nazca & Far South,1.070|1.093|1.170|1.192|1.199
KH0019,Unknown,10,0,0,Cañete–Pisco,1.0,Cañete–Pisco|Ica & Paracas|Central Coast|Cañete–Pisco|Central Coast,0.000|0.007|0.007|0.013|0.013
KH0020,Unknown,9,1,0,Central Coast,0.874,Central Coast|Central Coast|Central Coast|Chachapoyas|Central Coast,0.402|0.495|0.622|0.973|1.001
KH0021,Unknown,10,2,0,Ica & Paracas,0.791,Ica & Paracas|Ica & Paracas|Central Coast|Central Coast|Central Coast,0.051|0.417|0.444|0.535|0.591
KH0022,Unknown,75,2,0,Central Coast,0.761,Central Coast|Ica & Paracas|Central Coast|Central Coast|Central Coast,0.184|0.267|0.352|0.537|0.553
KH0023,Unknown,3,0,0,Cañete–Pisco,0.5,Cañete–Pisco|Central Coast|Central Coast|Cañete–Pisco|Cañete–Pisco,0.000|0.000|0.007|0.007|0.013
KH0024,Unknown,8,1,0,Central Coast,0.428,Central Coast|Central Coast|Ica & Paracas|Cañete–Pisco|Ica & Paracas,0.651|0.781|0.788|0.791|0.815
KH0025,Unknown,3,0,0,Central Coast,0.883,Central Coast|Central Coast|Central Coast|Ica & Paracas|Cañete–Pisco,0.020|0.107|0.146|0.219|0.237
KH0026,Unknown,37,2,0,Central Coast,0.728,Ica & Paracas|Central Coast|Central Coast|Central Coast|Central Coast,0.733|0.885|1.143|1.174|1.243
KH0027,Unknown,77,5,0,Central Coast,0.351,Cañete–Pisco|North Peru Coast|Chachapoyas|Central Coast|Central Coast,1.057|1.177|1.338|1.426|1.484
KH0028,Unknown,260,4,1,Cañete–Pisco,0.382,Central Coast|Nazca & Far South|Cañete–Pisco|Ica & Paracas|Cañete–Pisco,1.120|1.207|1.213|1.225|1.339
KH0029,Unknown,28,1,0,Central Coast,0.661,Central Coast|Ica & Paracas|Central Coast|Central Coast|Cañete–Pisco,0.483|0.916|1.004|1.005|1.007
KH0030,Unknown,56,5,0,Ica & Paracas,0.405,Ica & Paracas|Arica & N. Chile|Central Coast|Ica & Paracas|Central Coast,1.024|1.074|1.105|1.346|1.450
KH0031,Aankoop,144,5,0,Chachapoyas,0.448,Chachapoyas|Chachapoyas|Arica & N. Chile|Cañete–Pisco|Central Coast,1.112|1.116|1.300|1.327|1.441
KH0035,Unknown,12,0,0,Central Coast,0.596,Central Coast|Cañete–Pisco|Ica & Paracas|Central Coast|Central Coast,0.080|0.139|0.217|0.375|0.445
KH0036,Unknown,18,2,0,Central Coast,0.6,Central Coast|Central Coast|Ica & Paracas|Nazca & Far South|Central Coast,1.000|1.002|1.002|1.003|1.003
KH0037,Unknown,15,0,0,Central Coast,0.585,Central Coast|Ica & Paracas|Central Coast|Ica & Paracas|Central Coast,0.154|0.156|0.162|0.169|0.212
KH0038,Unknown,25,3,0,Central Coast,0.654,Central Coast|Central Coast|Ica & Paracas|Ica & Paracas|Central Coast,0.245|0.349|0.372|0.524|0.574
KH0039,Unknown,10,0,0,Nazca & Far South,0.459,Nazca & Far South|Cañete–Pisco|Nazca & Far South|Central Coast|Cañete–Pisco,0.039|0.051|0.051|0.051|0.070
KH0040,Unknown,21,1,0,Ica & Paracas,0.902,Ica & Paracas|Ica & Paracas|Ica & Paracas|Ica & Paracas|Cañete–Pisco,0.040|0.045|0.105|0.114|0.140
KH0041,Unknown,11,2,0,Ica & Paracas,0.577,Central Coast|Ica & Paracas|Nazca & Far South|Ica & Paracas|Ica & Paracas,1.003|1.009|1.031|1.159|1.203
KH0043,Unknown,16,0,0,Ica & Paracas,0.484,Ica & Paracas|Central Coast|Ica & Paracas|Cañete–Pisco|Central Coast,0.247|0.305|0.461|0.543|0.659
KH0044,Unknown,4,0,0,Cañete–Pisco,0.5,Cañete–Pisco|Central Coast|Cañete–Pisco|Cañete–Pisco|Central Coast,0.000|0.000|0.007|0.007|0.007
KH0045,Unknown,12,0,0,Central Coast,0.545,Central Coast|Ica & Paracas|Central Coast|Cañete–Pisco|Ica & Paracas,0.020|0.033|0.060|0.077|0.078
KH0046,Unknown,38,2,0,Central Coast,0.851,Central Coast|Central Coast|Central Coast|Central Coast|Ica & Paracas,0.190|0.216|0.331|0.361|0.364
KH0050,Unknown,36,4,0,Central Coast,0.808,Central Coast|Central Coast|Central Coast|Ica & Paracas|Central Coast,0.351|0.366|0.427|0.429|0.538
KH0051,Unknown,45,1,0,Ica & Paracas,0.785,Ica & Paracas|Cañete–Pisco|Ica & Paracas|Ica & Paracas|Ica & Paracas,0.146|0.158|0.162|0.178|0.223
KH0052,Unknown,56,4,0,Cañete–Pisco,0.396,Central Coast|Nazca & Far South|Cañete–Pisco|Ica & Paracas|Cañete–Pisco,1.004|1.012|1.022|1.037|1.046
KH0053,Unknown,14,1,0,Central Coast,0.738,Central Coast|Central Coast|Central Coast|Arica & N. Chile|Ica & Paracas,0.154|0.181|0.218|0.301|0.389
KH0054,Unknown,29,1,0,Central Coast,0.739,Central Coast|Ica & Paracas|Ica & Paracas|Ica & Paracas|Central Coast,0.112|0.658|1.002|1.004|1.005
KH0055,Unknown,159,7,1,Ica & Paracas,0.389,Nazca & Far South|Ica & Paracas|Central Coast|Cañete–Pisco|Ica & Paracas,0.893|1.033|1.291|1.488|1.500
KH0056,Unknown,53,6,0,Central Coast,0.755,Chachapoyas|Central Coast|Central Coast|Central Coast|Central Coast,0.801|1.015|1.039|1.049|1.050
KH0057,Unknown,126,6,1,Cañete–Pisco,0.42,Cañete–Pisco|Cañete–Pisco|Chachapoyas|Arica & N. Chile|Ica & Paracas,1.120|1.205|1.219|1.279|1.282
KH0058,Unknown,189,8,1,Central Coast,0.577,Nazca & Far South|Central Coast|Central Coast|Central Coast|Chachapoyas,1.189|1.434|1.435|1.449|1.454
KH0061,Unknown,370,6,1,Ica & Paracas,0.339,Ica & Paracas|Cañete–Pisco|Nazca & Far South|Central Coast|Arica & N. Chile,0.624|1.065|1.273|1.384|1.473
