kfg_id,cluster_label,geo_zone,n_cords,n_unique_colors
CM009,Simple,Central Coast,65,4
HM45419A,Simple,Ica & Paracas,24,2
HM45419C,Simple,Ica & Paracas,37,4
KH0001,Simple,Central Coast,156,8
KH0002,Simple,,31,5
KH0003,Simple,,15,2
KH0004,Simple,,9,2
KH0005,Simple,,22,2
KH0006,Simple,,59,7
KH0007,Simple,,92,4
KH0008,Complex,,171,9
KH0009,Complex,,250,11
KH0010,Simple,Central Coast,33,3
KH0011,Simple,,28,3
KH0012,Simple,,24,2
KH0013,Simple,,106,18
KH0014,Simple,,90,5
KH0015,Simple,,75,3
KH0016,Simple,,23,3
KH0017,Simple,,11,2
KH0018,Simple,,39,1
KH0019,Simple,,10,9
KH0020,Simple,,9,1
KH0021,Simple,,10,2
KH0022,Simple,,75,7
KH0023,Simple,,3,2
KH0024,Simple,,8,4
KH0025,Simple,,3,3
KH0026,Simple,,37,4
KH0027,Simple,,77,5
KH0028,Complex,,260,5
KH0029,Simple,,28,3
KH0030,Simple,,56,3
KH0031,Simple,,144,23
KH0032,Simple,Cañete–Pisco,28,3
KH0033,Simple,Cañete–Pisco,66,5
KH0034,Complex,Nazca & Far South,541,15
KH0035,Simple,,12,3
KH0036,Simple,,18,4
KH0037,Simple,,15,2
KH0038,Simple,,25,3
KH0039,Simple,,10,3
KH0040,Simple,,21,3
KH0041,Simple,,11,4
KH0042,Complex,Central Coast,179,13
KH0043,Simple,,16,6
KH0044,Simple,,4,1
KH0045,Simple,,12,4
KH0046,Simple,,38,8
KH0047,Simple,Central Coast,81,9
KH0048,Simple,Central Coast,82,11
KH0049,Complex,Nazca & Far South,367,8
KH0050,Simple,,36,4
KH0051,Simple,,45,2
KH0052,Simple,,56,5
KH0053,Simple,,14,5
KH0054,Simple,,29,7
KH0055,Complex,,159,7
KH0056,Simple,,53,15
KH0057,Complex,,126,10
KH0058,Complex,,189,11
KH0059,Simple,Cañete–Pisco,80,9
KH0060,Simple,Cañete–Pisco,86,10
KH0061,Complex,,370,12
KH0062,Simple,Cañete–Pisco,45,6
KH0063,Simple,Cañete–Pisco,49,3
KH0064,Simple,Cañete–Pisco,20,2
