color_code,n_entries,pct_entries,n_khipus,pct_khipus
W,20936,27.454168742951556,551,77.71509167842031
AB,11170,14.64764352592515,397,55.99435825105783
MB,9291,12.183639749272206,416,58.67418899858956
YB,4729,6.2013165831781585,208,29.33709449929478
KB,3921,5.141755619082588,309,43.58251057827927
B,3251,4.263159275092449,136,19.18194640338505
GG,1559,2.0443756720606365,174,24.541607898448518
LB,1401,1.8371842954181858,70,9.873060648801129
NB,1349,1.768994728421936,45,6.346967559943582
DB,1120,1.4686983660730677,74,10.437235543018335
HB,872,1.1434865850140312,108,15.2327221438646
RB,753,0.9874373836187679,71,10.01410437235543
PK,714,0.9362952083715808,159,22.425952045133993
BG,662,0.8681056413753311,74,10.437235543018335
LK,660,0.8654829657216293,57,8.039492242595205
BS,649,0.8510582496262686,44,6.205923836389281
RL,548,0.7186131291143224,75,10.578279266572638
BB,518,0.6792729943087938,32,4.513399153737659
CB,490,0.6425555351569672,49,6.911142454160791
PB,465,0.6097720894856934,47,6.629055007052186
YG,363,0.47601563114689605,29,4.090267983074753
YY,325,0.4261847937265599,11,1.5514809590973202
BL,324,0.4248734558997089,44,6.205923836389281
W-KB,314,0.4117600776311994,50,7.052186177715091
LG,305,0.39995803718954076,40,5.6417489421720735
W-AB,268,0.3514385375960555,64,9.026798307475318
FB,263,0.34488184846180076,33,4.65444287729196
LC,226,0.2963623488683155,29,4.090267983074753
GL,215,0.28193763277295497,42,5.923836389280677
G,213,0.2793149571192531,37,5.218617771509168
PR,211,0.2766922814655512,25,3.5260930888575457
R,210,0.2753809436387002,15,2.1156558533145273
MG,202,0.2648902410238926,24,3.385049365303244
W-MB,200,0.26226756537019064,61,8.603667136812412
RM,190,0.24915418710168116,30,4.231311706629055
G0,187,0.24522017362112827,28,3.9492242595204514
0G,181,0.23735214666002255,26,3.6671368124118473
W(0.0-5.0)/W,170,0.22292743056466208,3,0.4231311706629055
PG,153,0.20063468750819588,19,2.6798307475317347
W%MB,130,0.17047391749062393,18,2.538787023977433
FR,130,0.17047391749062393,22,3.1029619181946404
0D,120,0.1573605392221144,8,1.1283497884344147
EB,109,0.1429358231267539,13,1.8335684062059237
0B,107,0.140313147473052,26,3.6671368124118473
AB-MB,104,0.13637913399249915,31,4.372355430183357
W%AB,100,0.13113378268509532,15,2.1156558533145273
GY,97,0.12719976920454248,11,1.5514809590973202
W-DB,94,0.12326575572398962,8,1.1283497884344147
BD,94,0.12326575572398962,5,0.7052186177715092
LA,82,0.10752970180177818,13,1.8335684062059237
VB,80,0.10490702614807626,10,1.4104372355430184
BY,80,0.10490702614807626,15,2.1156558533145273
GB,68,0.08917097222586483,16,2.2566995768688294
