kfg_id,provenance_display,geo_zone,cluster_label,n_cords,n_pattern_types,n_unique_colors,numeric_coverage,frac_broken,sub_ratio,group_size,iso_score,lof_score,z_max,z_flag_feature,iso_flagged,lof_flagged,z_flagged,n_methods_flagged,anomaly_class
KH0509,Incahuasi,Cañete–Pisco,Complex,362,9,12,0.5883977900552486,0.5552486187845304,0.09883720930232558,6.615384615384615,0.5585977497140417,1.3729431906046474,2.8587897963736255,n_pattern_types,True,False,False,1,Candidate
KH0507,Incahuasi,Cañete–Pisco,Complex,381,7,10,0.7795275590551181,0.2152230971128609,0.19672131147540983,7.32,0.549237449249374,1.2252872884359807,2.8918046390404273,n_pendants,True,False,False,1,Candidate
KH0692,Unknown,,Complex,265,8,63,0.8226415094339623,0.0377358490566037,0.2028985507246377,1.7692307692307692,0.5461416284658219,1.298093189069497,2.961915066323214,n_unique_colors,True,False,False,1,Candidate
KH0333,Unknown,,Complex,230,5,50,0.6652173913043479,0.1782608695652174,0.24166666666666667,12.0,0.5433617186315165,1.3288760042192584,2.234962646706101,n_unique_colors,True,False,False,1,Candidate
KH0350,Nazca,Nazca & Far South,Complex,260,7,56,0.473076923076923,0.2961538461538461,0.0,2.5625,0.5426156335733557,1.416738120169338,2.940697830521504,n_colors,True,False,False,1,Candidate
KH0332,Unknown,,Simple,57,0,20,0.8771929824561403,0.2456140350877192,0.6060606060606061,11.0,0.5389856677520154,1.6015788468388483,2.686713817628369,n_colors,True,False,False,1,Candidate
KH0362,Nazca,Nazca & Far South,Simple,218,3,8,0.7339449541284404,0.5779816513761468,0.013888888888888888,36.0,0.531573713111672,1.5289756680639746,4.36792538696757,group_size,False,False,True,1,Candidate
KH0506,Incahuasi,Cañete–Pisco,Complex,330,6,10,0.6606060606060606,0.593939393939394,0.1388888888888889,0.3364485981308411,0.530752820795053,1.639679971296837,4.029723425815737,n_groups,False,False,True,1,Candidate
KH0618,Incahuasi,Cañete–Pisco,Simple,126,5,37,0.7301587301587301,0.7380952380952381,0.18181818181818182,5.5,0.5216434085561036,1.5637332276208915,3.4486658563077746,n_colors,False,False,True,1,Candidate
KH0579,Unknown,,Simple,7,0,3,0.1428571428571428,1.0,0.0,0.0,0.5000742517965223,1.3724676487598282,3.727289519020405,frac_broken,False,False,True,1,Candidate
KH0576,Unknown,,Simple,86,4,5,0.4767441860465116,0.872093023255814,0.19047619047619047,0.7,0.49801884531779544,1.2057797697209494,3.144823003694722,frac_broken,False,False,True,1,Candidate
KH0126,Pachacamac,Central Coast,Simple,42,0,5,0.0238095238095238,0.9523809523809524,0.0,0.0,0.4969200406771367,1.35836002455964,3.5104405133147396,frac_broken,False,False,True,1,Candidate
KH0086,Ica Valley (Rancho San Juan),Ica & Paracas,Simple,25,0,1,0.24,1.0,0.0,0.0,0.4940563328628687,1.2873240165078395,3.727289519020405,frac_broken,False,False,True,1,Candidate
KH0698,Unknown,,Complex,556,7,17,0.8884892086330936,0.2050359712230215,0.0,0.6724137931034483,0.4906901836984034,1.4212590977011448,3.366713401122316,n_cords,False,False,True,1,Candidate
KH0324,Santa,North Peru Coast,Simple,102,2,14,0.8725490196078431,0.1176470588235294,0.0,48.0,0.48737750218013154,1.6373117200047562,5.956868918412136,group_size,False,False,True,1,Candidate
KH0373,"Arica, Chile (Playa Miller 6)",Arica & N. Chile,Simple,57,1,11,0.7017543859649122,0.1228070175438596,0.0,48.0,0.48030283950435954,1.6534874763230825,5.956868918412136,group_size,False,False,True,1,Candidate
KH0661,Huacones,Cañete–Pisco,Simple,8,0,8,1.0,0.0,1.0,0.5,0.4776997345774242,3.1095174486124497,2.4663457715480157,sub_ratio,False,True,False,1,Candidate
KH0681,Unknown,,Simple,54,1,6,0.1666666666666666,0.9444444444444444,0.0,0.0,0.46951270593910344,1.1741826851519794,3.474299012363795,frac_broken,False,False,True,1,Candidate
KH0213,Ica Valley (near Callengo),Ica & Paracas,Simple,7,0,4,0.8571428571428571,0.1428571428571428,1.0,3.0,0.46944621541028186,1.9226046667754617,2.4663457715480157,sub_ratio,False,True,False,1,Candidate
KH0393,Unknown,,Simple,66,2,10,0.5606060606060606,0.8787878787878788,0.15384615384615385,1.0,0.46437797756288784,1.0111218323399755,3.17531023176962,frac_broken,False,False,True,1,Candidate
KH0627,Incahuasi,Cañete–Pisco,Simple,4,0,3,1.0,1.0,0.0,1.0,0.46171392902174835,1.3530553685443085,3.727289519020405,frac_broken,False,False,True,1,Candidate
KH0387,Unknown,,Simple,59,4,8,0.423728813559322,0.847457627118644,0.06666666666666667,1.3636363636363635,0.45682338845767817,1.0879026072132694,3.0326376193870015,frac_broken,False,False,True,1,Candidate
KH0308,Huaquerones,Central Coast,Simple,26,0,25,0.0,0.0,0.0,0.0,0.45533784462147303,1.1356889764451772,3.358223839154835,numeric_coverage,False,False,True,1,Candidate
KH0110,Pachacamac,Central Coast,Simple,64,1,59,0.734375,0.015625,0.0,0.0,0.45479261563864803,2.4022171063272704,2.738237398748718,n_unique_colors,False,True,False,1,Candidate
KH0398,Tambo Colorado,Cañete–Pisco,Simple,25,0,2,0.0,0.28,0.0,0.06666666666666667,0.4487386912261366,1.1268535944583367,3.358223839154835,numeric_coverage,False,False,True,1,Candidate
KH0625,Incahuasi,Cañete–Pisco,Simple,13,0,7,0.3076923076923077,0.8461538461538461,0.0,1.0,0.4405218887922395,1.1121456030967758,3.0267004236636392,frac_broken,False,False,True,1,Candidate
KH0670,Unknown,,Complex,228,3,1,0.5921052631578947,0.2324561403508772,0.0,0.0,0.43726458011586933,1.7745323084922837,1.5276474491299508,n_groups,False,True,False,1,Candidate
KH0338,Unknown,,Simple,75,3,5,0.6133333333333333,0.9066666666666666,0.0,1.0,0.43714161688074105,1.0125646281943124,3.3022654678373002,frac_broken,False,False,True,1,Candidate
KH0139,Marquez,Central Coast,Simple,28,0,3,1.0,0.8571428571428571,0.0,1.25,0.4366633896162706,1.2057920607202317,3.076742501903408,frac_broken,False,False,True,1,Candidate
KH0557,Pachacamac,Central Coast,Simple,55,0,11,0.0,0.0545454545454545,0.0,0.0,0.4330637943300856,1.1045481404081765,3.358223839154835,numeric_coverage,False,False,True,1,Candidate
KH0319,Huaquerones,Central Coast,Simple,44,0,13,0.0,0.0,0.0,0.0,0.43081900022402386,1.0969375213867778,3.358223839154835,numeric_coverage,False,False,True,1,Candidate
KH0417,Cajamarquilla,Central Coast,Simple,18,0,3,0.0,0.2222222222222222,0.0,0.0,0.4290238660496688,1.0717248192080018,3.358223839154835,numeric_coverage,False,False,True,1,Candidate
KH0376,Chancay (Central Coast),Central Coast,Simple,5,0,2,1.0,0.2,0.5,1.0,0.4283330991836626,1.8019426705455388,1.1850890975878252,n_pattern_types,False,True,False,1,Candidate
KH0655,Huacones,Cañete–Pisco,Simple,2,0,2,0.0,0.0,0.0,0.0,0.42644479481301373,1.1045776023126255,3.358223839154835,numeric_coverage,False,False,True,1,Candidate
KH0208,Unknown,,Simple,101,0,3,0.0,0.0,0.0,0.0,0.4254534244080604,1.0668394841020084,3.358223839154835,numeric_coverage,False,False,True,1,Candidate
KH0584,Unknown,,Simple,54,1,11,0.5370370370370371,0.8518518518518519,0.0,0.5,0.42450655276837856,1.0240791602491235,3.052648167936112,frac_broken,False,False,True,1,Candidate
KH0605B,Unknown,,Simple,15,0,8,0.0,0.2,0.0,0.3333333333333333,0.4235545319012416,1.076832466546195,3.358223839154835,numeric_coverage,False,False,True,1,Candidate
KH0558,Pachacamac,Central Coast,Simple,17,0,8,0.0,0.2352941176470588,0.0,0.0,0.42249076958805365,1.083452870140034,3.358223839154835,numeric_coverage,False,False,True,1,Candidate
KH0589,Unknown,,Simple,33,0,6,0.0,0.0303030303030303,0.0,0.0,0.4220676999230345,1.0845626013903864,3.358223839154835,numeric_coverage,False,False,True,1,Candidate
KH0401,Unknown,,Simple,15,0,4,0.6666666666666666,0.8666666666666667,0.0,0.0,0.42185158363892805,1.0596009254975798,3.1201123030445417,frac_broken,False,False,True,1,Candidate
RA002,Ica,Ica & Paracas,Simple,12,0,2,0.0,0.0,0.0,0.0,0.4218312574314287,1.1030087421894186,3.358223839154835,numeric_coverage,False,False,True,1,Candidate
KH0560,Pachacamac,Central Coast,Simple,10,0,4,0.0,0.1,0.0,0.0,0.41658595197908516,1.0636573931560513,3.358223839154835,numeric_coverage,False,False,True,1,Candidate
KH0307,Huaquerones,Central Coast,Simple,26,0,4,0.0,0.0384615384615384,0.0,0.0,0.4143281115236186,1.0644986144739303,3.358223839154835,numeric_coverage,False,False,True,1,Candidate
KH0039,Unknown,,Simple,10,0,3,0.8,0.0,0.5,2.0,0.4137323685639822,1.7806173445559885,1.1850890975878252,n_pattern_types,False,True,False,1,Candidate
KH0493,Incahuasi,Cañete–Pisco,Simple,14,1,2,1.0,0.0714285714285714,0.3333333333333333,1.0,0.40031198122665007,1.7346731933559112,1.0569180135716543,numeric_coverage,False,True,False,1,Candidate
KH0200,Unknown,,Simple,22,0,1,1.0,0.0,0.0,0.0,0.39847077231922173,1.9190485582453978,1.1850890975878252,n_pattern_types,False,True,False,1,Candidate
KH0134,Ica,Ica & Paracas,Simple,36,2,30,1.0,0.0,0.0,1.0,0.3897847445194426,1.7991392092501481,1.1165743088336193,n_unique_colors,False,True,False,1,Candidate
KH0329,Unknown,,Complex,1227,8,129,0.2754686226568867,0.0782396088019559,0.0502092050209205,79.66666666666667,0.7855970737738479,4.153779783343806,16.759900883930953,n_pendants,True,True,True,3,High-confidence
