kfg_id,provenance_display,geo_zone,cluster_label,typology,typology_label,n_cords,n_pattern_types,n_unique_colors,numeric_coverage,frac_broken,iso_score,anomaly_class,has_pp,has_ip,has_cp,has_sp,has_gg,has_gsb,has_is,has_psn,has_adg
CM009,Purucucho,Central Coast,Simple,0,T1,65,4,4,0.7692307692307693,0.0,0.3561379165895296,Normal,1,1,1,0,0,0,0,0,1
HM45419A,"Ica Valley (Site T, Grave K)",Ica & Paracas,Simple,0,T1,24,1,2,0.3333333333333333,0.0,0.3837741005606365,Normal,0,0,0,0,0,0,0,0,1
HM45419C,"Ica Valley (Site T, Grave K)",Ica & Paracas,Simple,0,T1,37,1,4,0.3243243243243243,0.081081081081081,0.3780140835373508,Normal,0,0,0,0,0,0,0,0,1
KH0001,Chuquitanta,Central Coast,Simple,0,T1,156,3,8,1.0,0.0064102564102564,0.4623171334912604,Normal,1,0,1,1,0,0,0,0,0
KH0002,Unknown,,Simple,0,T1,31,1,5,1.0,0.032258064516129,0.3805862892435858,Normal,1,0,0,0,0,0,0,0,0
KH0003,Unknown,,Simple,0,T1,15,1,2,0.8666666666666667,0.1333333333333333,0.3587925095051299,Normal,1,0,0,0,0,0,0,0,0
KH0004,Unknown,,Simple,0,T1,9,3,2,1.0,0.0,0.3694106379906864,Normal,1,0,0,1,1,0,0,0,0
KH0005,Unknown,,Simple,0,T1,22,1,2,1.0,0.0,0.357968042003386,Normal,1,0,0,0,0,0,0,0,0
KH0006,Unknown,,Simple,0,T1,59,4,7,0.847457627118644,0.1016949152542373,0.3526206828199447,Normal,1,1,0,0,0,0,1,1,0
KH0007,Unknown,,Simple,0,T1,92,6,4,0.9565217391304348,0.0869565217391304,0.3964684503094731,Normal,1,1,1,1,1,0,1,0,0
KH0008,Unknown,,Complex,0,T1,171,7,9,0.912280701754386,0.1403508771929824,0.4075026856084528,Normal,1,1,1,1,1,0,0,1,1
KH0009,Unknown,,Complex,0,T1,250,7,11,0.788,0.084,0.4187591894080379,Normal,1,1,1,1,1,1,0,0,1
KH0010,Pachacamac (Nordenskiöld),Central Coast,Simple,0,T1,33,3,3,0.4242424242424242,0.4242424242424242,0.3924393186623252,Normal,1,0,1,0,0,0,0,0,1
KH0011,Unknown,,Simple,0,T1,28,4,3,0.8214285714285714,0.0,0.3583226530965909,Normal,1,1,1,1,0,0,0,0,0
KH0012,Unknown,,Simple,0,T1,24,1,2,0.8333333333333334,0.125,0.3614206700597228,Normal,0,0,0,0,0,0,0,1,0
KH0013,Unknown,,Simple,0,T1,106,3,18,0.3679245283018867,0.0471698113207547,0.4038652718402612,Normal,1,0,1,0,0,0,0,1,0
KH0014,Unknown,,Simple,0,T1,90,6,5,0.4666666666666667,0.3444444444444444,0.4051395008971366,Normal,1,1,1,0,1,1,0,0,1
KH0015,Unknown,,Simple,0,T1,75,2,3,1.0,0.0,0.4650623255207482,High-confidence,1,0,0,1,0,0,0,0,0
