khipu_id,structural_cluster,predicted_function,confidence,administrative_type,cord_count,hierarchy_depth,summation_match_rate,numeric_coverage,unique_color_count,color_entropy
1000000,2,Accounting,1.0,Standard Administrative Record,19,2,0.0,0.5263157894736842,5.0,1.572385491970173
1000001,2,Accounting,1.0,Standard Administrative Record,7,1,0.0,0.8571428571428571,1.0,0.0
1000002,6,Accounting,1.0,Exceptional/Anomalous,31,2,0.0,0.9032258064516128,8.0,1.8703562850172992
1000003,6,Accounting,1.0,Exceptional/Anomalous,39,2,0.0,0.8205128205128205,6.0,1.422014431673113
1000004,6,Accounting,1.0,Exceptional/Anomalous,177,2,0.0,0.8926553672316384,7.0,1.42589252281463
1000005,6,Accounting,1.0,Exceptional/Anomalous,63,2,0.0,0.6349206349206349,2.0,0.1985152433458726
1000006,0,Accounting,1.0,Compact Operational Record,81,3,0.0,0.4691358024691358,4.0,1.1589290349628125
1000007,3,Accounting,1.0,Local Operational Record,344,3,0.0240963855421686,0.8313953488372093,8.0,1.8516759703880439
1000008,0,Accounting,1.0,Compact Operational Record,60,3,0.0,0.8666666666666667,3.0,0.6503384442695906
1000009,0,Accounting,1.0,Compact Operational Record,127,3,0.0303030303030303,0.7716535433070866,7.0,1.613804027591846
1000010,0,Accounting,1.0,Compact Operational Record,89,3,0.0,0.8539325842696629,7.0,1.773361337558082
1000011,6,Accounting,1.0,Exceptional/Anomalous,45,2,0.0909090909090909,0.7111111111111111,4.0,1.1349669837082137
1000012,0,Accounting,1.0,Compact Operational Record,117,3,0.0,0.9316239316239316,11.0,1.9305761296233324
1000013,6,Accounting,1.0,Exceptional/Anomalous,31,1,0.0,0.2580645161290322,2.0,0.6268694575724263
1000014,6,Accounting,1.0,Exceptional/Anomalous,38,1,0.0,0.3157894736842105,3.0,1.0390279299861542
1000015,6,Accounting,1.0,Exceptional/Anomalous,33,2,0.0,0.6666666666666666,3.0,1.0176629708064735
1000017,6,Accounting,1.0,Exceptional/Anomalous,40,2,0.0,0.825,5.0,1.3437081244257825
1000018,3,Accounting,1.0,Local Operational Record,443,3,0.0566037735849056,0.7404063205417607,8.0,0.9491053733415475
1000019,4,Accounting,0.9727177235856225,Lateral Category Tracking,165,2,0.5714285714285714,0.6060606060606061,6.0,1.1360965800146843
1000020,3,Accounting,1.0,Local Operational Record,771,5,0.3039215686274509,0.6134889753566797,10.0,1.770244530492055
1000021,4,Accounting,0.9826187136846323,Lateral Category Tracking,123,2,0.6521739130434783,0.8373983739837398,7.0,1.4666252545203082
1000022,4,Accounting,0.9826187136846323,Lateral Category Tracking,163,2,0.75,0.8404907975460123,6.0,1.3191702290103324
1000023,3,Accounting,1.0,Local Operational Record,573,3,0.125,0.5549738219895288,14.0,1.8246292528436825
1000024,3,Accounting,1.0,Local Operational Record,574,3,0.125,0.7386759581881533,9.0,1.0971758536231437
1000025,3,Accounting,1.0,Local Operational Record,875,3,0.1639344262295081,0.6297142857142857,7.0,1.2017988112393516
1000026,2,Accounting,1.0,Standard Administrative Record,19,2,0.0,0.8947368421052632,3.0,0.9426749615639383
1000027,2,Accounting,1.0,Standard Administrative Record,21,2,0.0,0.4285714285714285,3.0,1.0670938948757507
1000028,6,Accounting,1.0,Exceptional/Anomalous,22,2,0.25,0.6363636363636364,3.0,0.9403716526240742
1000029,0,Accounting,1.0,Compact Operational Record,254,3,0.0833333333333333,0.6377952755905512,8.0,1.6702520888067243
1000030,6,Accounting,1.0,Exceptional/Anomalous,29,2,0.0,0.7931034482758621,3.0,0.9108997985731645
1000031,6,Accounting,1.0,Exceptional/Anomalous,15,1,0.0,0.8,3.0,0.7298712099831165
1000032,6,Accounting,1.0,Exceptional/Anomalous,144,2,0.0,0.9097222222222222,7.0,1.500872580449128
1000033,6,Accounting,1.0,Exceptional/Anomalous,69,2,0.1666666666666666,0.6666666666666666,2.0,0.6930421569294483
1000034,6,Accounting,1.0,Exceptional/Anomalous,101,2,0.0666666666666666,0.9702970297029704,7.0,1.514018990530928
1000035,2,Accounting,0.9907407407407408,Standard Administrative Record,37,2,0.1666666666666666,0.7837837837837838,3.0,1.093691626505447
1000036,6,Accounting,1.0,Exceptional/Anomalous,21,1,0.0,0.9523809523809524,2.0,0.6645284386549151
1000037,6,Accounting,1.0,Exceptional/Anomalous,38,2,0.0,0.9210526315789472,3.0,0.6991243743064138
1000038,2,Accounting,0.9907407407407408,Standard Administrative Record,6,2,0.0,0.6666666666666666,2.0,0.6931471805599453
1000039,1,Accounting,1.0,Aggregated Summary,65,1,0.0,0.7230769230769231,7.0,1.52074292154585
1000040,6,Accounting,1.0,Exceptional/Anomalous,102,2,0.0833333333333333,0.5588235294117647,4.0,1.2134033068006507
1000041,6,Accounting,1.0,Exceptional/Anomalous,49,1,0.0,0.979591836734694,3.0,0.8344981125729444
1000042,6,Accounting,1.0,Exceptional/Anomalous,74,2,0.0,0.9324324324324323,5.0,1.2898795799448548
1000043,2,Accounting,1.0,Standard Administrative Record,22,2,0.0,0.9545454545454546,5.0,1.5810347035081773
1000044,2,Accounting,1.0,Standard Administrative Record,29,2,0.0,0.9655172413793104,6.0,1.595253936978384
1000045,6,Accounting,1.0,Exceptional/Anomalous,315,2,0.0625,0.6571428571428571,5.0,0.37501983946963136
1000046,6,Accounting,1.0,Exceptional/Anomalous,21,2,0.0,0.9523809523809524,2.0,0.48691270946460224
1000047,6,Accounting,1.0,Exceptional/Anomalous,72,2,0.0,0.9444444444444444,4.0,1.2536829845801227
1000048,5,Accounting,1.0,Multi-Level Aggregation,22,1,0.0,0.9545454545454546,2.0,0.18490739916777568
1000049,2,Accounting,1.0,Standard Administrative Record,23,2,0.0,0.8695652173913043,3.0,0.9724399117161489
1000050,6,Accounting,1.0,Exceptional/Anomalous,55,2,0.0,0.7818181818181819,5.0,1.4540537834229401
1000051,6,Accounting,1.0,Exceptional/Anomalous,30,1,0.0,0.8666666666666667,4.0,1.1338692781046693
1000052,0,Accounting,1.0,Compact Operational Record,43,3,0.1428571428571428,0.7209302325581395,3.0,0.9542348967589244
1000053,1,Accounting,1.0,Aggregated Summary,288,1,0.0,0.7881944444444444,4.0,0.709961588034449
1000054,6,Accounting,0.9602958389840682,Exceptional/Anomalous,21,1,0.0,0.9047619047619048,1.0,0.0
1000055,2,Accounting,1.0,Standard Administrative Record,12,2,0.0,0.9166666666666666,4.0,0.9761900500397598
1000056,6,Accounting,0.89754172319903,Exceptional/Anomalous,43,1,0.0,0.0232558139534883,4.0,0.6371011802710839
1000057,1,Accounting,1.0,Aggregated Summary,164,1,0.0,0.676829268292683,3.0,0.6157285825445465
1000058,6,Accounting,1.0,Exceptional/Anomalous,54,2,0.0,0.9629629629629628,3.0,0.8872110027601254
1000059,6,Accounting,1.0,Exceptional/Anomalous,16,2,0.0,0.9375,3.0,1.0239287996389363
1000060,0,Accounting,0.9907407407407408,Compact Operational Record,28,3,0.0833333333333333,0.9285714285714286,3.0,1.0346012329101812
1000061,0,Accounting,1.0,Compact Operational Record,8,3,0.0,0.625,4.0,1.3208883431493221
1000062,0,Accounting,1.0,Compact Operational Record,8,3,0.0,0.75,3.0,0.9743147528693494
1000063,6,Accounting,1.0,Exceptional/Anomalous,358,2,0.0588235294117647,0.4888268156424581,7.0,1.7279798429332036
1000064,6,Accounting,1.0,Exceptional/Anomalous,24,1,0.0,0.7916666666666666,4.0,1.2816208115182914
1000065,1,Accounting,0.8674281803640966,Aggregated Summary,102,1,0.0,0.0,3.0,1.0326262972835027
1000066,2,Accounting,1.0,Standard Administrative Record,8,1,0.0,0.75,1.0,0.0
1000067,6,Accounting,1.0,Exceptional/Anomalous,14,2,0.0,0.9285714285714286,3.0,0.8921178708188162
1000068,2,Accounting,1.0,Standard Administrative Record,9,1,0.0,0.7777777777777778,1.0,0.0
1000069,2,Accounting,1.0,Standard Administrative Record,7,2,0.0,0.8571428571428571,3.0,0.9556998911125343
1000070,2,Accounting,1.0,Standard Administrative Record,12,2,0.0,0.9166666666666666,3.0,0.887694275799104
1000071,6,Accounting,1.0,Exceptional/Anomalous,56,1,0.0,0.75,7.0,1.918285593641395
1000072,6,Accounting,1.0,Exceptional/Anomalous,14,1,0.0,0.8571428571428571,3.0,1.060944240790747
1000073,6,Accounting,1.0,Exceptional/Anomalous,12,1,0.0,0.9166666666666666,3.0,0.8239592165010823
1000074,6,Accounting,1.0,Exceptional/Anomalous,21,2,0.0,0.7619047619047619,3.0,0.3805062184775959
