feature,importance
color_cord_ratio,0.1465712976347273
cord_count,0.12069360147817586
numeric_coverage,0.10426129967122742
unique_color_count,0.08605045306716554
branching_factor,0.08530533304673817
structural_complexity,0.07927565297222479
leaf_ratio,0.07857321758447794
primary_color_diversity,0.07376644344813897
hierarchy_depth,0.07136145412897953
node_density,0.06932258291934344
color_entropy,0.033350823793064206
multi_color_ratio,0.016509365011507834
avg_numeric_value,0.014256496467533292
pendant_color_diversity,0.010514012984749806
has_summation,0.005386163116394953
summation_match_rate,0.003438648773786268
has_aggregation,0.0013631539017646458
color_transitions,0.0
