khipu_id,error_detectable,relative_impact,localization_score,containment_ratio,redundancy_proxy,robustness_proxy,redundancy_normalized,robustness_score,robustness_class
1000000,0.0,1.0,0.3,0.25,6.0,0.0,0.018808777429467086,0.09376175548589341,Low
1000001,0.0,1.0,0.6,0.14285714285714285,6.0,0.0,0.018808777429467086,0.1837617554858934,Low
1000002,0.0,1.0,0.6,0.14285714285714285,8.571428571428571,0.0,0.026869682042095836,0.18537393640841915,Low
1000003,0.0,1.0,1.0,0.09090909090909091,9.5,0.0,0.029780564263322883,0.30595611285266455,Medium
1000004,0.0,1.0,1.0,0.012345679012345678,20.705882352941178,0.0,0.06490872210953347,0.3129817444219067,Medium
1000005,0.0,1.0,1.0,0.017543859649122806,8.857142857142858,0.0,0.027765338110165697,0.3055530676220331,Medium
1000006,0.0,1.0,0.0,1.0,7.272727272727273,0.0,0.02279851809632374,0.004559703619264748,Low
1000007,1.0,2.0288395789030764e-05,1.0,0.011904761904761904,9.70754716981132,0.036144578313253,0.030431182350505705,0.7097006943014263,High
1000008,0.0,1.0,0.7,0.125,13.615384615384615,0.0,0.04268145647455992,0.21853629129491198,Low
1000009,1.0,0.025155693950177967,1.0,0.07692307692307693,7.269230769230768,0.0303030303030303,0.022787557270315888,0.7075878144843661,High
1000010,0.0,1.0,1.0,0.058823529411764705,26.400000000000002,0.0,0.08275862068965519,0.31655172413793103,Medium
1000011,0.0,1.0,1.0,0.045454545454545456,5.866666666666666,0.0,0.01839080459770115,0.3036781609195402,Medium
1000012,0.0,1.0,1.0,0.030303030303030304,9.405405405405405,0.0,0.029484029484029485,0.3058968058968059,Medium
1000013,0.0,1.0,0.0,1.0,30.0,0.0,0.09404388714733543,0.018808777429467086,Low
1000014,0.0,1.0,0.0,1.0,37.0,0.0,0.11598746081504702,0.023197492163009405,Low
1000015,0.0,1.0,0.0,1.0,21.333333333333332,0.0,0.06687565308254963,0.013375130616509925,Low
1000017,0.0,1.0,0.5,0.16666666666666666,7.8,0.0,0.02445141065830721,0.15489028213166145,Low
1000018,1.0,0.00024573798187682404,1.0,0.058823529411764705,7.9401197604790426,0.0471698113207547,0.024890657556360635,0.7096951126433475,High
1000019,1.0,8.680555555555563e-05,0.0,1.0,27.333333333333332,0.5714285714285714,0.08568443051201671,0.4742797432452605,Medium
1000020,1.0,4.332755632582326e-05,1.0,0.008849557522123894,18.222748815165875,0.2941176470588235,0.057124604436256665,0.7408366855931336,High
1000021,1.0,0.00013637913399249926,1.0,0.058823529411764705,9.76,0.6521739130434783,0.030595611285266458,0.771336513561401,High
1000022,1.0,7.112375533428171e-05,0.0,1.0,16.2,0.75,0.05078369905956113,0.48515673981191226,Medium
1000023,1.0,4.146753610267366e-06,1.0,0.007874015748031496,21.450000000000003,0.125,0.06724137931034484,0.7259482758620689,High
1000024,1.0,2.192501644376235e-05,0.0,1.0,20.223529411764705,0.125,0.06339664392402729,0.42517932878480547,Medium
1000025,1.0,5.4090601757944607e-05,0.0,1.0,24.971428571428575,0.1639344262295081,0.07828034034930588,0.43204951069281206,Medium
1000026,0.0,1.0,0.0,1.0,4.0,0.0,0.012539184952978056,0.0025078369905956114,Low
1000027,0.0,1.0,0.0,1.0,4.444444444444445,0.0,0.013932427725531174,0.002786485545106235,Low
1000028,1.0,0.014754098360655743,0.0,1.0,6.0,0.25,0.018808777429467086,0.42876175548589346,Medium
1000029,1.0,7.521624670928928e-05,1.0,0.02702702702702703,22.323529411764707,0.0833333333333333,0.06997971602434078,0.7223292765382014,High
1000030,0.0,1.0,1.0,0.058823529411764705,5.090909090909091,0.0,0.015958962667426618,0.3031917925334853,Medium
1000031,0.0,1.0,0.0,1.0,14.0,0.0,0.0438871473354232,0.00877742946708464,Low
1000032,0.0,1.0,1.0,0.03225806451612903,6.5,0.0,0.02037617554858934,0.30407523510971785,Medium
1000033,1.0,0.0026041666666666704,1.0,0.027777777777777776,7.157894736842105,0.1666666666666666,0.022438541494802837,0.7211543749656272,High
1000034,1.0,0.003957680250783703,1.0,0.04,6.25,0.1,0.019592476489028215,0.7139184952978056,High
1000035,1.0,0.004627766599597587,1.0,0.07692307692307693,3.789473684210526,0.1666666666666666,0.011879227850189737,0.7190425122367045,High
1000036,0.0,1.0,0.8,0.1111111111111111,20.0,0.0,0.06269592476489028,0.25253918495297806,Low
1000037,0.0,1.0,1.0,0.09090909090909091,12.333333333333334,0.0,0.03866248693834901,0.3077324973876698,Medium
1000038,0.0,1.0,0.3,0.25,3.3333333333333335,0.0,0.01044932079414838,0.09208986415882968,Low
1000039,0.0,1.0,1.0,0.015384615384615385,64.0,0.0,0.2006269592476489,0.3401253918495298,Medium
1000040,1.0,0.005801687763713087,1.0,0.025,15.538461538461538,0.0833333333333333,0.0487099107788763,0.7180753154891085,High
1000041,0.0,1.0,1.0,0.030303030303030304,48.0,0.0,0.15047021943573669,0.3300940438871473,Medium
1000042,0.0,1.0,1.0,0.03571428571428571,18.25,0.0,0.05721003134796238,0.31144200626959245,Medium
1000043,0.0,1.0,0.4,0.2,4.2,0.0,0.01316614420062696,0.12263322884012538,Low
1000044,0.0,1.0,0.4,0.2,4.3076923076923075,0.0,0.013503737641668675,0.12270074752833374,Low
1000045,0.0,1.0,1.0,0.0035087719298245615,16.972972972972972,0.0,0.05320681182750148,0.3106413623655003,Medium
1000046,0.0,1.0,1.0,0.05555555555555555,20.0,0.0,0.06269592476489028,0.31253918495297806,Medium
1000047,0.0,1.0,1.0,0.07692307692307693,4.896551724137931,0.0,0.015349691925197275,0.30306993838503943,Medium
1000048,0.0,1.0,1.0,0.045454545454545456,21.0,0.0,0.06583072100313479,0.31316614420062694,Medium
