khipu_id,num_nodes,depth,avg_branching,model
synthetic_constrained_0,6,2,3.575,constrained_random
synthetic_constrained_1,6,2,3.3043478260869565,constrained_random
synthetic_constrained_2,5,1,4.88,constrained_random
synthetic_constrained_3,29,2,18.0,constrained_random
synthetic_constrained_4,24,2,10.555555555555555,constrained_random
synthetic_constrained_5,22,1,24.0,constrained_random
synthetic_constrained_6,49,2,27.5,constrained_random
synthetic_constrained_7,65,2,34.0,constrained_random
synthetic_constrained_8,26,3,9.0,constrained_random
synthetic_constrained_9,26,3,11.0,constrained_random
synthetic_constrained_10,12,3,4.0,constrained_random
synthetic_constrained_11,9,3,3.575,constrained_random
synthetic_constrained_12,24,2,10.352941176470589,constrained_random
synthetic_constrained_13,3,1,4.0,constrained_random
synthetic_constrained_14,2,1,3.5,constrained_random
synthetic_constrained_15,17,3,5.0,constrained_random
synthetic_constrained_16,9,3,2.909090909090909,constrained_random
synthetic_constrained_17,6,2,3.6206896551724137,constrained_random
synthetic_constrained_18,24,2,14.0,constrained_random
synthetic_constrained_19,9,2,4.125,constrained_random
synthetic_constrained_20,5,1,7.0,constrained_random
synthetic_constrained_21,26,1,28.0,constrained_random
synthetic_constrained_22,5,1,4.7073170731707314,constrained_random
synthetic_constrained_23,7,1,6.75,constrained_random
synthetic_constrained_24,3,1,4.0,constrained_random
synthetic_constrained_25,122,2,55.0,constrained_random
synthetic_constrained_26,9,3,3.0,constrained_random
synthetic_constrained_27,15,2,7.578947368421052,constrained_random
synthetic_constrained_28,4,1,3.5,constrained_random
synthetic_constrained_29,25,2,13.0,constrained_random
synthetic_constrained_30,28,3,9.5859375,constrained_random
synthetic_constrained_31,4,3,2.0,constrained_random
synthetic_constrained_32,1,0,24.0,constrained_random
synthetic_constrained_33,51,2,25.0,constrained_random
synthetic_constrained_34,33,2,18.0,constrained_random
synthetic_constrained_35,27,1,34.666666666666664,constrained_random
synthetic_constrained_36,8,1,9.0,constrained_random
synthetic_constrained_37,68,3,23.0,constrained_random
synthetic_constrained_38,133,2,74.0,constrained_random
synthetic_constrained_39,234,2,115.0,constrained_random
synthetic_constrained_40,92,1,108.0,constrained_random
synthetic_constrained_41,16,2,8.75,constrained_random
synthetic_constrained_42,9,2,4.0,constrained_random
synthetic_constrained_43,13,2,7.0,constrained_random
synthetic_constrained_44,48,1,47.0,constrained_random
synthetic_constrained_45,7,1,6.5,constrained_random
synthetic_constrained_46,11,1,10.666666666666666,constrained_random
synthetic_constrained_47,9,3,3.0,constrained_random
synthetic_constrained_48,2,1,2.5,constrained_random
synthetic_constrained_49,6,2,3.5,constrained_random
synthetic_constrained_50,28,3,9.705882352941176,constrained_random
synthetic_constrained_51,11,1,10.483516483516484,constrained_random
synthetic_constrained_52,4,3,1.75,constrained_random
synthetic_constrained_53,14,1,15.0,constrained_random
synthetic_constrained_54,94,3,30.0,constrained_random
synthetic_constrained_55,103,1,89.0,constrained_random
synthetic_constrained_56,7,2,3.4871794871794872,constrained_random
synthetic_constrained_57,4,3,1.9285714285714288,constrained_random
synthetic_constrained_58,734,4,180.0,constrained_random
synthetic_constrained_59,14,1,13.416666666666666,constrained_random
synthetic_constrained_60,26,2,13.0,constrained_random
synthetic_constrained_61,18,2,10.555555555555555,constrained_random
synthetic_constrained_62,5,1,4.5,constrained_random
synthetic_constrained_63,44,2,24.0,constrained_random
synthetic_constrained_64,10,2,4.96969696969697,constrained_random
synthetic_constrained_65,71,2,30.0,constrained_random
synthetic_constrained_66,3,1,3.6666666666666665,constrained_random
synthetic_constrained_67,30,2,16.0,constrained_random
synthetic_constrained_68,40,1,35.0,constrained_random
synthetic_constrained_69,54,2,25.0,constrained_random
synthetic_constrained_70,3,1,3.3157894736842106,constrained_random
synthetic_constrained_71,26,4,7.5,constrained_random
synthetic_constrained_72,6,2,4.0,constrained_random
synthetic_constrained_73,6,1,6.0,constrained_random
synthetic_constrained_74,8,2,4.0,constrained_random
synthetic_constrained_75,47,2,21.0,constrained_random
synthetic_constrained_76,10,2,5.277777777777778,constrained_random
synthetic_constrained_77,12,1,11.0,constrained_random
synthetic_constrained_78,25,1,23.0,constrained_random
synthetic_constrained_79,23,2,14.0,constrained_random
synthetic_constrained_80,3,2,1.9285714285714288,constrained_random
synthetic_constrained_81,6,1,6.0,constrained_random
synthetic_constrained_82,45,2,24.0,constrained_random
synthetic_constrained_83,6,2,3.0,constrained_random
synthetic_constrained_84,30,2,16.333333333333332,constrained_random
synthetic_constrained_85,317,2,140.5,constrained_random
synthetic_constrained_86,8,1,9.625,constrained_random
synthetic_constrained_87,389,2,164.0,constrained_random
synthetic_constrained_88,54,1,48.0,constrained_random
synthetic_constrained_89,64,2,29.0,constrained_random
synthetic_constrained_90,35,4,8.862068965517242,constrained_random
synthetic_constrained_91,3,1,3.738095238095238,constrained_random
synthetic_constrained_92,3,1,3.3043478260869565,constrained_random
synthetic_constrained_93,20,3,6.181818181818182,constrained_random
synthetic_constrained_94,26,1,30.0,constrained_random
synthetic_constrained_95,11,3,3.985507246376812,constrained_random
synthetic_constrained_96,32,4,9.0,constrained_random
synthetic_constrained_97,18,2,10.125,constrained_random
synthetic_constrained_98,50,1,47.0,constrained_random
synthetic_constrained_99,30,2,18.0,constrained_random
synthetic_constrained_100,85,1,89.0,constrained_random
synthetic_constrained_101,3,2,1.8823529411764703,constrained_random
synthetic_constrained_102,8,3,3.142857142857143,constrained_random
synthetic_constrained_103,26,1,30.0,constrained_random
synthetic_constrained_104,14,3,5.571428571428571,constrained_random
synthetic_constrained_105,1,0,10.666666666666666,constrained_random
synthetic_constrained_106,17,3,7.027027027027027,constrained_random
synthetic_constrained_107,31,1,36.0,constrained_random
synthetic_constrained_108,3,1,2.9166666666666665,constrained_random
synthetic_constrained_109,2,1,2.5454545454545454,constrained_random
synthetic_constrained_110,22,2,11.333333333333334,constrained_random
synthetic_constrained_111,320,4,82.0,constrained_random
synthetic_constrained_112,9,2,4.589743589743589,constrained_random
synthetic_constrained_113,24,2,14.0,constrained_random
synthetic_constrained_114,89,3,35.0,constrained_random
synthetic_constrained_115,4,2,1.818181818181818,constrained_random
synthetic_constrained_116,10,3,3.25,constrained_random
synthetic_constrained_117,79,2,41.0,constrained_random
synthetic_constrained_118,3,2,1.6666666666666667,constrained_random
synthetic_constrained_119,12,3,3.6944444444444446,constrained_random
synthetic_constrained_120,6,1,5.7,constrained_random
synthetic_constrained_121,2,1,2.3008849557522124,constrained_random
synthetic_constrained_122,1,2,0.0,constrained_random
synthetic_constrained_123,17,3,4.916666666666667,constrained_random
synthetic_constrained_124,7,1,8.0,constrained_random
synthetic_constrained_125,16,3,4.589743589743589,constrained_random
synthetic_constrained_126,9,2,4.0,constrained_random
synthetic_constrained_127,45,2,19.0,constrained_random
synthetic_constrained_128,1,1,1.0,constrained_random
synthetic_constrained_129,12,1,11.666666666666666,constrained_random
synthetic_constrained_130,39,2,18.0,constrained_random
synthetic_constrained_131,20,2,11.25,constrained_random
synthetic_constrained_132,51,3,20.0,constrained_random
synthetic_constrained_133,12,3,4.472222222222222,constrained_random
synthetic_constrained_134,10,1,9.333333333333334,constrained_random
synthetic_constrained_135,13,3,4.418604651162791,constrained_random
synthetic_constrained_136,10,3,3.117647058823529,constrained_random
synthetic_constrained_137,96,3,34.0,constrained_random
synthetic_constrained_138,10,3,3.738095238095238,constrained_random
synthetic_constrained_139,13,2,6.0,constrained_random
synthetic_constrained_140,12,2,6.666666666666667,constrained_random
synthetic_constrained_141,3,1,4.0,constrained_random
synthetic_constrained_142,2,1,2.2222222222222223,constrained_random
synthetic_constrained_143,2,1,3.0,constrained_random
synthetic_constrained_144,13,3,3.75,constrained_random
synthetic_constrained_145,3,1,3.888888888888889,constrained_random
synthetic_constrained_146,4,1,4.589743589743589,constrained_random
synthetic_constrained_147,9,2,5.6,constrained_random
synthetic_constrained_148,185,2,98.0,constrained_random
synthetic_constrained_149,2,1,2.2857142857142856,constrained_random
synthetic_constrained_150,6,2,3.2285714285714286,constrained_random
synthetic_constrained_151,51,2,28.0,constrained_random
synthetic_constrained_152,14,1,13.666666666666666,constrained_random
synthetic_constrained_153,9,1,8.8,constrained_random
synthetic_constrained_154,15,2,7.027027027027027,constrained_random
synthetic_constrained_155,3,1,3.142857142857143,constrained_random
synthetic_constrained_156,98,4,26.0,constrained_random
synthetic_constrained_157,5,2,3.5,constrained_random
synthetic_constrained_158,5,1,5.6,constrained_random
synthetic_constrained_159,628,3,186.0,constrained_random
synthetic_constrained_160,68,1,85.5,constrained_random
synthetic_constrained_161,94,2,42.0,constrained_random
synthetic_constrained_162,183,3,76.0,constrained_random
synthetic_constrained_163,50,3,20.0,constrained_random
synthetic_constrained_164,11,1,11.0,constrained_random
synthetic_constrained_165,9,3,3.135135135135135,constrained_random
synthetic_constrained_166,8,2,3.6666666666666665,constrained_random
synthetic_constrained_167,16,1,14.666666666666666,constrained_random
synthetic_constrained_168,5,2,3.16,constrained_random
synthetic_constrained_169,3,1,4.397260273972603,constrained_random
synthetic_constrained_170,2,1,3.3157894736842106,constrained_random
synthetic_constrained_171,7,1,6.818181818181818,constrained_random
synthetic_constrained_172,3,1,3.5,constrained_random
synthetic_constrained_173,11,3,4.0,constrained_random
synthetic_constrained_174,55,2,24.0,constrained_random
synthetic_constrained_175,7,2,3.809523809523809,constrained_random
synthetic_constrained_176,4,2,2.0,constrained_random
synthetic_constrained_177,22,3,8.0,constrained_random
synthetic_constrained_178,38,2,16.4,constrained_random
synthetic_constrained_179,10,2,4.7,constrained_random
synthetic_constrained_180,57,2,24.0,constrained_random
synthetic_constrained_181,4,2,2.2,constrained_random
synthetic_constrained_182,59,3,19.0,constrained_random
synthetic_constrained_183,15,2,6.5,constrained_random
synthetic_constrained_184,3,1,3.6206896551724137,constrained_random
synthetic_constrained_185,5,2,2.4,constrained_random
synthetic_constrained_186,8,3,2.333333333333333,constrained_random
synthetic_constrained_187,4,1,3.9375,constrained_random
synthetic_constrained_188,5,1,7.25,constrained_random
synthetic_constrained_189,109,2,46.0,constrained_random
synthetic_constrained_190,4,2,2.4,constrained_random
synthetic_constrained_191,5,2,3.135135135135135,constrained_random
synthetic_constrained_192,4,2,2.571428571428572,constrained_random
synthetic_constrained_193,21,1,26.0,constrained_random
synthetic_constrained_194,8,3,2.7472527472527477,constrained_random
synthetic_constrained_195,26,3,9.333333333333334,constrained_random
synthetic_constrained_196,9,3,2.833333333333333,constrained_random
synthetic_constrained_197,13,1,16.0,constrained_random
synthetic_constrained_198,6,2,3.8666666666666663,constrained_random
synthetic_constrained_199,7,1,6.894736842105263,constrained_random
synthetic_constrained_200,2,1,3.1296296296296298,constrained_random
synthetic_constrained_201,29,1,34.0,constrained_random
synthetic_constrained_202,8,3,3.2,constrained_random
synthetic_constrained_203,10,2,4.7,constrained_random
synthetic_constrained_204,4,2,2.806201550387597,constrained_random
synthetic_constrained_205,2,1,2.933333333333333,constrained_random
synthetic_constrained_206,403,2,195.0,constrained_random
synthetic_constrained_207,2,1,2.5,constrained_random
synthetic_constrained_208,2,1,2.8,constrained_random
synthetic_constrained_209,12,1,14.0,constrained_random
synthetic_constrained_210,4,2,2.0,constrained_random
synthetic_constrained_211,11,1,10.0,constrained_random
synthetic_constrained_212,5,3,2.2857142857142856,constrained_random
synthetic_constrained_213,12,4,3.0,constrained_random
synthetic_constrained_214,16,2,7.0,constrained_random
synthetic_constrained_215,2,1,2.4,constrained_random
synthetic_constrained_216,2,1,3.25,constrained_random
synthetic_constrained_217,8,2,5.076923076923077,constrained_random
synthetic_constrained_218,19,2,11.333333333333334,constrained_random
synthetic_constrained_219,52,2,32.0,constrained_random
synthetic_constrained_220,7,2,4.0,constrained_random
synthetic_constrained_221,2,1,2.5,constrained_random
synthetic_constrained_222,5,2,2.473684210526316,constrained_random
synthetic_constrained_223,3,1,4.0,constrained_random
synthetic_constrained_224,10,2,5.0,constrained_random
synthetic_constrained_225,19,3,8.0,constrained_random
synthetic_constrained_226,41,1,42.0,constrained_random
synthetic_constrained_227,6,2,3.0,constrained_random
synthetic_constrained_228,121,2,65.0,constrained_random
synthetic_constrained_229,29,2,14.666666666666666,constrained_random
synthetic_constrained_230,47,5,8.15,constrained_random
synthetic_constrained_231,44,2,22.33333333333333,constrained_random
synthetic_constrained_232,4,2,2.423076923076923,constrained_random
synthetic_constrained_233,8,1,7.0,constrained_random
synthetic_constrained_234,14,2,6.818181818181818,constrained_random
synthetic_constrained_235,9,2,4.095238095238095,constrained_random
synthetic_constrained_236,48,2,26.0,constrained_random
synthetic_constrained_237,23,2,11.333333333333334,constrained_random
synthetic_constrained_238,3,2,1.935483870967742,constrained_random
synthetic_constrained_239,201,4,48.0,constrained_random
