khipu_id,num_nodes,depth,avg_branching,model
synthetic_empirical_0,89,2,30.0,empirical_random
synthetic_empirical_1,590,2,35.0,empirical_random
synthetic_empirical_2,113,1,126.0,empirical_random
synthetic_empirical_3,9,1,3.888888888888889,empirical_random
synthetic_empirical_4,6,2,10.0,empirical_random
synthetic_empirical_5,45,2,16.0,empirical_random
synthetic_empirical_6,1832,1,3.25,empirical_random
synthetic_empirical_7,48,3,14.0,empirical_random
synthetic_empirical_8,34,2,18.0,empirical_random
synthetic_empirical_9,30,2,10.555555555555555,empirical_random
synthetic_empirical_10,25,1,10.0,empirical_random
synthetic_empirical_11,382,2,5.545454545454546,empirical_random
synthetic_empirical_12,87,1,3.0,empirical_random
synthetic_empirical_13,13,3,2.909090909090909,empirical_random
synthetic_empirical_14,127,3,3.9384615384615382,empirical_random
synthetic_empirical_15,257,2,12.0,empirical_random
synthetic_empirical_16,58,4,5.25,empirical_random
synthetic_empirical_17,231,1,3.282608695652174,empirical_random
synthetic_empirical_18,197,1,0.0,empirical_random
synthetic_empirical_19,6,1,17.0,empirical_random
synthetic_empirical_20,127,1,96.0,empirical_random
synthetic_empirical_21,170,3,8.862068965517242,empirical_random
synthetic_empirical_22,222,2,30.0,empirical_random
synthetic_empirical_23,11,4,5.0,empirical_random
synthetic_empirical_24,43,2,14.0,empirical_random
synthetic_empirical_25,38,2,2.933333333333333,empirical_random
synthetic_empirical_26,32,2,2.176470588235294,empirical_random
synthetic_empirical_27,238,2,19.0,empirical_random
synthetic_empirical_28,10,2,2.2916666666666665,empirical_random
synthetic_empirical_29,55,3,45.0,empirical_random
synthetic_empirical_30,87,1,30.0,empirical_random
synthetic_empirical_31,52,2,2.839080459770115,empirical_random
synthetic_empirical_32,195,1,3.870967741935484,empirical_random
synthetic_empirical_33,19,4,3.9375,empirical_random
synthetic_empirical_34,22,2,12.4,empirical_random
synthetic_empirical_35,165,2,18.0,empirical_random
synthetic_empirical_36,48,2,12.5,empirical_random
synthetic_empirical_37,15,1,9.0,empirical_random
synthetic_empirical_38,36,1,13.4,empirical_random
synthetic_empirical_39,286,1,3.5,empirical_random
synthetic_empirical_40,173,2,7.5,empirical_random
synthetic_empirical_41,5,3,8.0,empirical_random
synthetic_empirical_42,70,3,2.5454545454545454,empirical_random
synthetic_empirical_43,52,3,164.0,empirical_random
synthetic_empirical_44,29,2,6.0,empirical_random
synthetic_empirical_45,15,3,2.027027027027027,empirical_random
synthetic_empirical_46,24,2,2.5,empirical_random
synthetic_empirical_47,135,3,8.444444444444445,empirical_random
synthetic_empirical_48,9,2,18.0,empirical_random
synthetic_empirical_49,20,1,76.0,empirical_random
synthetic_empirical_50,14,2,3.75,empirical_random
synthetic_empirical_51,25,4,11.142857142857142,empirical_random
synthetic_empirical_52,4,0,4.5,empirical_random
synthetic_empirical_53,191,2,2.0211267605633805,empirical_random
