kfg_id,n_cords,n_pendants,n_leaves,leaf_ratio,depth,mean_branching,branching_cv,branching_entropy,widest_level,balance_score,subtree_size_cv,beh_label,typology_label,geo_zone
CM009,65,65,65,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,Central Coast
HM45419A,24,24,24,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B2,T1,Ica & Paracas
HM45419C,37,37,37,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B2,T1,Ica & Paracas
KH0001,156,98,99,0.6346153846153846,3,0.4387755102040816,1.1768912491981391,1.0547964989665628,0,0.509793479633201,0.490206520366799,B4,T1,Central Coast
KH0002,31,14,19,0.6129032258064516,2,1.1428571428571428,0.6495190528383289,1.530618994848517,1,0.6510756830196139,0.34892431698038606,B4,T1,
KH0003,15,7,12,0.8,1,1.1428571428571428,1.357847561400027,1.6644977792004614,1,0.27581463391998573,0.7241853660800143,B5,T1,
KH0004,9,7,7,0.7777777777777778,1,0.2857142857142857,1.5811388300841898,0.8631205685666311,0,0.6486358155368468,0.35136418446315326,B5,T1,
KH0005,22,19,19,0.8636363636363636,1,0.15789473684210525,2.309401076758503,0.6292492238560347,0,0.6850816713511132,0.31491832864888675,B3,T1,
KH0006,59,40,45,0.7627118644067796,1,0.475,1.4877151605371124,1.263168140910212,0,0.5209052872846587,0.4790947127153413,B2,T1,
KH0007,92,42,71,0.7717391304347826,1,1.1904761904761905,1.3746272221951668,2.0062975577932587,1,0.25291998793740944,0.7470800120625906,B3,T1,
KH0008,171,146,154,0.9005847953216374,1,0.17123287671232876,3.2320891076825227,0.6677509050415439,0,0.5274723526779939,0.4725276473220062,B3,T1,
KH0009,250,227,236,0.944,1,0.1013215859030837,4.66292946044856,0.4119987534471249,0,0.5710104896387325,0.4289895103612675,B3,T1,
KH0010,33,28,30,0.9090909090909091,1,0.17857142857142858,3.0133038346638723,0.5896261811873141,0,0.5434388129297163,0.4565611870702837,B6,T1,Central Coast
KH0011,28,27,27,0.9642857142857143,1,0.037037037037037035,5.0990195135927845,0.22853814395352803,0,0.8178921602288292,0.18210783977117087,B3,T1,
KH0012,24,15,15,0.625,1,0.6,0.816496580927726,0.9709505944546688,0,0.6938137821521027,0.3061862178478973,B3,T1,
KH0013,106,86,92,0.8679245283018868,1,0.23255813953488372,2.596150997149434,0.8279638122286083,0,0.510160189217088,0.48983981078291206,B2,T1,
KH0014,90,90,90,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,
KH0015,75,42,42,0.56,2,0.6904761904761905,0.6695340634119862,0.8926230133850988,0,0.6645401166557567,0.3354598833442433,B4,T1,
KH0016,23,13,21,0.9130434782608695,2,0.07692307692307693,3.464101615137755,0.3912435636292556,0,0.0,1.5061311370164148,B2,T1,
KH0017,11,7,10,0.9090909090909091,1,0.5714285714285714,2.4494897427831788,0.5916727785823274,0,0.1092764571697532,0.8907235428302468,B3,T1,
KH0018,39,20,20,0.5128205128205128,1,0.95,0.22941573387056177,0.2863969571159562,0,0.888233360422034,0.11176663957796598,B2,T1,
KH0019,10,9,9,0.9,1,0.1111111111111111,2.82842712474619,0.5032583347756457,0,0.717157287525381,0.282842712474619,B6,T1,
KH0020,9,9,9,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B5,T1,
KH0021,10,10,10,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B5,T1,
KH0022,75,60,63,0.84,1,0.25,2.1447610589527217,0.8841837197791889,0,0.5710477882094557,0.4289522117905443,B3,T1,
KH0023,3,3,3,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B5,T1,
KH0024,8,7,7,0.875,1,0.14285714285714285,2.4494897427831788,0.5916727785823274,0,0.6938137821521027,0.3061862178478973,B6,T1,
KH0025,3,3,3,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B5,T1,
KH0026,37,24,36,0.972972972972973,1,0.5416666666666666,4.79583152331272,0.24988229283318544,0,0.0,1.685021886569334,B6,T1,
KH0027,77,54,56,0.7272727272727273,1,0.42592592592592593,1.3251957090546234,1.1405240078253742,0,0.6041623206719956,0.3958376793280044,B3,T1,
KH0028,260,105,148,0.5692307692307692,2,1.3238095238095238,0.49447022381121103,1.4320093672616965,1,0.6793589999897487,0.3206410000102513,B4,T2,
KH0029,28,19,21,0.75,1,0.47368421052631576,1.4315665251916807,1.2674438038072338,0,0.539853616902674,0.460146383097326,B2,T1,
KH0030,56,49,50,0.8928571428571429,1,0.14285714285714285,2.82842712474619,0.615954233367718,0,0.6464466094067263,0.35355339059327373,B3,T1,
KH0031,144,88,105,0.7291666666666666,3,0.5568181818181818,1.7306074316452127,1.3684559009702855,0,0.2735168427432213,0.7264831572567787,B4,T1,
KH0032,28,22,25,0.8928571428571429,1,0.2727272727272727,3.1622776601683795,0.699857857026928,0,0.32236907282106164,0.6776309271789384,B3,T1,Cañete–Pisco
KH0033,66,54,61,0.9242424242424242,1,0.2222222222222222,4.031128874149273,0.5859841250959648,0,0.2670674774274049,0.7329325225725951,B3,T1,Cañete–Pisco
