n_subsidiaries,count,label,pct_pendants
0,36243,pure pendant (no subs),80.32757818214056
1,6090,1 subsidiary,13.4976395753452
2,1437,2 subsidiaries,3.184911013098694
3,543,3 subsidiaries,1.2034841197721582
4,273,4 subsidiaries,0.6050666016534054
5,166,5 subsidiaries,0.367915955584122
6,91,6 subsidiaries,0.20168886721780183
7,42,7 subsidiaries,0.0930871694851393
8,145,8 subsidiaries,0.32137237084155235
9,60,9 subsidiaries,0.13298167069305614
10,8,10 subsidiaries,0.017730889425740817
11,5,11 subsidiaries,0.01108180589108801
12,3,12 subsidiaries,0.006649083534652807
13,3,13 subsidiaries,0.006649083534652807
14,2,14 subsidiaries,0.004432722356435204
16,1,16 subsidiaries,0.002216361178217602
17,2,17 subsidiaries,0.004432722356435204
20,1,20 subsidiaries,0.002216361178217602
21,1,21 subsidiaries,0.002216361178217602
24,1,24 subsidiaries,0.002216361178217602
26,1,26 subsidiaries,0.002216361178217602
30,1,30 subsidiaries,0.002216361178217602
