khipu_id,color_entropy,color_cord_ratio,unique_color_count,multi_color_ratio,primary_color_diversity,pendant_color_diversity,color_transitions
1000000,1.572385491970173,1.0555555555555556,5.0,0.21052631578947367,5.0,2.0,0.0
1000001,0.0,1.1666666666666667,1.0,0.0,1.0,0.0,0.0
1000002,1.8703562850172992,0.9666666666666667,8.0,0.27586206896551724,8.0,4.0,0.0
1000003,1.422014431673113,0.9736842105263158,6.0,0.13513513513513514,5.0,4.0,0.0
1000004,1.42589252281463,1.0,7.0,0.16477272727272727,7.0,5.0,0.0
1000005,0.1985152433458726,0.967741935483871,2.0,0.21666666666666667,2.0,2.0,0.0
1000006,1.1589290349628125,1.0125,4.0,0.1111111111111111,3.0,4.0,0.0
1000007,1.8516759703880439,1.055393586005831,8.0,0.4585635359116022,8.0,7.0,0.0
1000008,0.6503384442695906,0.9830508474576272,3.0,0.15517241379310345,2.0,2.0,0.0
1000009,1.613804027591846,0.9920634920634921,7.0,0.352,6.0,7.0,0.0
1000010,1.773361337558082,1.0,7.0,0.4318181818181818,7.0,5.0,0.0
1000011,1.1349669837082137,0.9318181818181818,4.0,0.12195121951219512,2.0,4.0,0.0
1000012,1.9305761296233324,0.9741379310344828,11.0,0.21238938053097345,11.0,8.0,0.0
1000013,0.6268694575724263,0.8333333333333334,2.0,0.32,2.0,0.0,0.0
1000014,1.0390279299861542,1.027027027027027,3.0,0.0,3.0,0.0,0.0
1000015,1.0176629708064735,1.0,3.0,0.1875,3.0,1.0,0.0
1000017,1.3437081244257825,1.1538461538461537,5.0,0.35555555555555557,5.0,3.0,0.0
1000018,0.9491053733415475,1.002262443438914,8.0,0.1963882618510158,5.0,7.0,0.0
1000019,1.1360965800146843,0.9695121951219512,6.0,0.18867924528301888,6.0,2.0,0.0
1000020,1.770244530492055,1.0078023407022108,10.0,0.30709677419354836,6.0,10.0,0.0
1000021,1.4666252545203082,0.9508196721311475,7.0,0.25,7.0,5.0,0.0
1000022,1.3191702290103324,0.9938271604938271,6.0,0.10559006211180125,6.0,3.0,0.0
1000023,1.8246292528436825,0.9685314685314685,14.0,0.10469314079422383,10.0,12.0,0.0
1000024,1.0971758536231437,0.9476439790575916,9.0,0.14732965009208104,7.0,6.0,0.0
1000025,1.2017988112393516,0.9805491990846682,7.0,0.10385064177362893,6.0,6.0,0.0
1000026,0.9426749615639383,1.0555555555555556,3.0,0.05263157894736842,2.0,3.0,0.0
1000027,1.0670938948757507,1.0,3.0,0.0,3.0,3.0,0.0
1000028,0.9403716526240742,1.0,3.0,0.14285714285714285,1.0,3.0,0.0
1000029,1.6702520888067243,1.0632411067193677,8.0,0.6059479553903345,7.0,6.0,0.0
1000030,0.9108997985731645,1.0357142857142858,3.0,0.10344827586206896,3.0,2.0,0.0
1000031,0.7298712099831165,1.0714285714285714,3.0,0.4,2.0,0.0,0.0
1000032,1.500872580449128,1.006993006993007,7.0,0.09722222222222222,3.0,7.0,0.0
1000033,0.6930421569294483,1.0147058823529411,2.0,0.014492753623188406,2.0,2.0,0.0
1000034,1.514018990530928,1.01,7.0,0.1782178217821782,7.0,5.0,0.0
1000035,1.093691626505447,1.0555555555555556,3.0,0.0,2.0,3.0,0.0
1000036,0.6645284386549151,1.05,2.0,0.42857142857142855,2.0,0.0,0.0
1000037,0.6991243743064138,1.0,3.0,0.5405405405405406,2.0,3.0,0.0
1000038,0.6931471805599453,1.2,2.0,0.3333333333333333,1.0,1.0,0.0
1000039,1.52074292154585,1.984375,7.0,0.2992125984251969,7.0,0.0,0.0
1000040,1.2134033068006507,1.00990099009901,4.0,0.10784313725490197,4.0,3.0,0.0
1000041,0.8344981125729444,1.0208333333333333,3.0,0.32653061224489793,3.0,0.0,0.0
1000042,1.2898795799448548,1.0136986301369864,5.0,0.013513513513513514,4.0,2.0,0.0
1000043,1.5810347035081773,1.0476190476190477,5.0,0.2727272727272727,3.0,4.0,0.0
1000044,1.595253936978384,1.0357142857142858,6.0,0.3793103448275862,3.0,5.0,0.0
1000045,0.37501983946963136,1.0,5.0,0.01592356687898089,4.0,4.0,0.0
1000046,0.48691270946460224,1.05,2.0,0.047619047619047616,2.0,1.0,0.0
1000047,1.2536829845801227,1.0140845070422535,4.0,0.0,4.0,3.0,0.0
1000048,0.18490739916777568,1.0476190476190477,2.0,0.045454545454545456,1.0,0.0,0.0
1000049,0.9724399117161489,1.0454545454545454,3.0,0.043478260869565216,1.0,2.0,0.0
1000050,1.4540537834229401,1.0185185185185186,5.0,0.07272727272727272,5.0,2.0,0.0
1000051,1.1338692781046693,1.0344827586206897,4.0,0.0,4.0,0.0,0.0
1000052,0.9542348967589244,1.119047619047619,3.0,0.02127659574468085,2.0,3.0,0.0
1000053,0.709961588034449,1.0034843205574913,4.0,0.4965277777777778,4.0,0.0,0.0
1000054,0.0,1.05,1.0,0.0,1.0,0.0,0.0
1000055,0.9761900500397598,2.1818181818181817,4.0,0.5,3.0,2.0,0.0
1000056,0.6371011802710839,0.9761904761904762,4.0,0.5121951219512195,4.0,0.0,0.0
1000057,0.6157285825445465,1.0061349693251533,3.0,0.17682926829268292,3.0,0.0,0.0
1000058,0.8872110027601254,1.0188679245283019,3.0,0.2222222222222222,2.0,3.0,0.0
1000059,1.0239287996389363,1.0666666666666667,3.0,0.0625,3.0,1.0,0.0
1000060,1.0346012329101812,1.037037037037037,3.0,0.17857142857142858,2.0,2.0,0.0
1000061,1.3208883431493221,1.1428571428571428,4.0,0.125,2.0,3.0,0.0
1000062,0.9743147528693494,1.1428571428571428,3.0,0.125,1.0,2.0,0.0
1000063,1.7279798429332036,1.0028011204481793,7.0,0.24860335195530725,7.0,5.0,0.0
1000064,1.2816208115182914,1.0434782608695652,4.0,0.4583333333333333,4.0,0.0,0.0
1000065,1.0326262972835027,1.00990099009901,3.0,0.00980392156862745,3.0,0.0,0.0
