feature,importance
color_cord_ratio,0.13773655762052422
cord_count,0.12260558759909494
numeric_coverage,0.10725770210798094
unique_color_count,0.08576604336212389
leaf_ratio,0.08484108632884957
branching_factor,0.08277561541911291
structural_complexity,0.07932850311246498
primary_color_diversity,0.07382298066086337
hierarchy_depth,0.07140815549334072
node_density,0.06709045757077767
color_entropy,0.031954292357294925
multi_color_ratio,0.017565381994470258
avg_numeric_value,0.015388451714976898
has_summation,0.009313810864760528
pendant_color_diversity,0.007697091037909525
summation_match_rate,0.004878113038405387
has_aggregation,0.0005701697170493039
color_transitions,0.0
