khipu_id,total_path_length,context_switches,avg_leaf_depth,traversal_cost,normalized_traversal,n_cords
1000000,23,2.0,2.0,25.0,1.3888888888888888,18
1000001,6,0.0,1.0,6.0,1.0,6
1000002,36,2.0,2.0,38.0,1.2666666666666666,30
1000003,45,2.0,2.0,47.0,1.236842105263158,38
1000004,193,2.0,2.0,195.0,1.1079545454545454,176
1000005,75,2.0,2.0,77.0,1.2419354838709677,62
1000006,116,6.0,3.0,122.0,1.525,80
1000007,534,22.0,3.0,556.0,1.620991253644315,343
1000008,98,14.0,3.0,112.0,1.8983050847457628,59
1000009,224,26.0,3.0,250.0,1.9841269841269842,126
1000010,121,22.0,3.0,143.0,1.625,88
1000011,65,4.0,2.0,69.0,1.5681818181818181,44
1000012,164,10.0,3.0,174.0,1.5,116
1000013,30,0.0,1.0,30.0,1.0,30
1000014,37,0.0,1.0,37.0,1.0,37
1000015,34,2.0,2.0,36.0,1.125,32
1000017,48,2.0,2.0,50.0,1.2820512820512822,39
1000018,665,12.0,3.0,677.0,1.5316742081447965,442
1000019,179,6.0,2.0,185.0,1.1280487804878048,164
1000020,1355,38.0,5.0,1393.0,1.811443433029909,769
1000021,139,11.0,2.0,150.0,1.2295081967213115,122
1000022,188,12.0,2.0,200.0,1.2345679012345678,162
1000023,754,51.0,3.0,805.0,1.4073426573426573,572
1000024,640,37.0,3.0,677.0,1.181500872600349,573
1000025,1157,87.0,3.0,1244.0,1.4233409610983982,874
1000026,26,2.0,2.0,28.0,1.5555555555555556,18
1000027,28,2.0,2.0,30.0,1.5,20
1000028,32,6.0,2.0,38.0,1.8095238095238095,21
1000029,276,42.0,3.0,318.0,1.256916996047431,253
1000030,39,2.0,2.0,41.0,1.4642857142857142,28
1000031,14,0.0,1.0,14.0,1.0,14
1000032,230,10.0,2.0,240.0,1.6783216783216783,143
1000033,86,2.0,2.0,88.0,1.2941176470588236,68
1000034,118,19.0,2.0,137.0,1.37,100
1000035,54,2.0,2.0,56.0,1.5555555555555556,36
1000036,20,0.0,1.0,20.0,1.0,20
1000037,32,23.0,2.0,55.0,1.4864864864864864,37
1000038,8,3.0,2.0,11.0,2.2,5
1000039,64,0.0,1.0,64.0,1.0,64
1000040,122,2.0,2.0,124.0,1.2277227722772277,101
1000041,48,0.0,1.0,48.0,1.0,48
1000042,80,2.0,2.0,82.0,1.1232876712328768,73
1000043,33,4.0,2.0,37.0,1.7619047619047619,21
1000044,40,2.0,2.0,42.0,1.5,28
1000045,362,4.0,2.0,366.0,1.1656050955414012,314
1000046,22,2.0,2.0,24.0,1.2,20
1000047,99,2.0,2.0,101.0,1.4225352112676057,71
1000048,21,0.0,1.0,21.0,1.0,21
1000049,32,2.0,2.0,34.0,1.5454545454545454,22
1000050,59,2.0,2.0,61.0,1.1296296296296295,54
1000051,29,0.0,1.0,29.0,1.0,29
1000052,51,6.0,3.0,57.0,1.3571428571428572,42
1000053,287,0.0,1.0,287.0,1.0,287
1000054,20,0.0,1.0,20.0,1.0,20
1000055,15,2.0,2.0,17.0,1.5454545454545454,11
1000056,42,0.0,1.0,42.0,1.0,42
1000057,163,0.0,1.0,163.0,1.0,163
1000058,71,2.0,2.0,73.0,1.3773584905660377,53
1000059,17,2.0,2.0,19.0,1.2666666666666666,15
1000060,42,4.0,3.0,46.0,1.7037037037037037,27
1000061,14,7.0,3.0,21.0,3.0,7
1000062,16,6.0,3.0,22.0,3.142857142857143,7
1000063,375,2.0,2.0,377.0,1.0560224089635855,357
1000064,23,0.0,1.0,23.0,1.0,23
1000065,101,0.0,1.0,101.0,1.0,101
1000066,7,0.0,1.0,7.0,1.0,7
1000067,16,6.0,2.0,22.0,1.6923076923076923,13
1000068,8,0.0,1.0,8.0,1.0,8
1000069,7,2.0,2.0,9.0,1.5,6
1000070,13,2.0,2.0,15.0,1.3636363636363635,11
1000071,41,28.0,1.0,69.0,1.2545454545454546,55
1000072,13,0.0,1.0,13.0,1.0,13
1000073,11,0.0,1.0,11.0,1.0,11
1000074,25,8.0,2.0,33.0,1.65,20
1000075,15,2.0,2.0,17.0,1.5454545454545454,11
1000076,40,2.0,2.0,42.0,1.1666666666666667,36
1000077,282,2.0,2.0,284.0,1.01067615658363,281
1000078,10,2.0,2.0,12.0,1.3333333333333333,9
1000079,118,4.0,2.0,122.0,1.297872340425532,94
1000080,35,0.0,1.0,35.0,1.0,35
1000081,33,2.0,2.0,35.0,1.25,28
1000082,16,0.0,1.0,16.0,1.0,16
1000083,219,10.0,3.0,229.0,1.4585987261146496,157
1000084,6,0.0,1.0,6.0,1.0,6
1000085,309,2.0,2.0,311.0,1.0761245674740485,289
1000086,14,0.0,1.0,14.0,1.0,14
1000087,40,2.0,2.0,42.0,1.5,28
1000088,195,0.0,1.0,195.0,1.0,195
1000089,428,2.0,2.0,430.0,1.4982578397212543,287
1000090,19,6.0,2.0,25.0,1.6666666666666667,15
1000091,51,2.0,2.0,53.0,1.0816326530612246,49
1000092,13,0.0,1.0,13.0,1.0,13
1000093,24,2.0,2.0,26.0,1.1304347826086956,23
1000094,390,6.0,3.0,396.0,1.3894736842105264,285
