khipu_id,num_values,mean,std,cv,range,iqr,variance_class
1000000,10,6.2,5.633234713140696,0.9085862440549509,17.0,7.5,medium
1000001,6,18537043.166666668,45351868.18844308,2.4465535188478635,111111111.0,83335.0,high
1000002,28,4897835.285714285,21015808.144862227,4.2908360365159455,111111227.0,111389.25,high
1000003,32,7395919.96875,27278792.443497635,3.688356899311889,111111118.0,1119.0,high
1000004,158,711865.6962025317,8839283.982835844,12.417066913027643,111111111.0,10.0,high
1000005,40,622541.275,2449124.1122600627,3.9340750735926107,11111114.0,365.75,high
1000006,38,1.605263157894737,0.7547855855987156,0.4701942992254293,3.0,1.0,low
1000007,286,4995002.0,22046856.970994238,4.4137834120975805,122333333.0,1112.5,high
1000008,52,2139350.826923077,15407979.114976922,7.202175034160928,111111111.0,3.0,high
1000009,98,1401.9591836734694,11308.370748609526,8.066119813116728,111111.0,5.0,high
1000010,76,7160536.7894736845,24968585.224430308,3.486971152935806,112222225.0,369448.0,high
1000011,32,7642.78125,27280.099988860336,3.569394320799164,111114.0,6.0,high
1000012,109,9927204.724770643,30655208.54111501,3.0880000353597286,111122224.0,11109.0,high
1000013,8,2.25,1.4880476182856899,0.6613544970158621,3.0,3.0,medium
1000014,12,3.5,2.6111648393354674,0.7460470969529907,8.0,3.5,medium
1000015,22,10606734.545454545,32615912.63724609,3.0750192245759043,111111110.0,1109.75,high
1000017,33,412.6363636363636,1939.06307623975,4.699205516333389,11110.0,10.0,high
1000018,328,1707596.6981707318,13633127.227618977,7.983809784958888,111111118.0,4.0,high
1000019,100,1113.8,11110.929522253522,9.975695387191168,111111.0,2.25,high
1000020,473,1.723044397463002,1.3566524854379725,0.7873578228370074,7.0,1.0,medium
1000021,103,129586.63106796116,1103454.9394870957,8.515191192125316,11111114.0,7.0,high
1000022,137,814.1897810218978,9492.67260879864,11.659041700184805,111111.0,2.0,high
1000023,318,3941630.757861635,19457126.646318536,4.936313886710732,111123332.0,14.25,high
1000024,424,2350044.337264151,15185796.26797321,6.4619190485793325,111111116.0,8.0,high
1000025,551,22613.46279491833,475651.53800327587,21.033998300789374,11111111.0,3.0,high
1000026,17,6.411764705882353,2.001837391292427,0.3122131711190024,8.0,3.0,low
1000027,9,1.7777777777777777,1.2018504251546631,0.676040864149498,3.0,2.0,medium
1000028,14,1.7857142857142858,1.1217137594956026,0.6281597053175374,3.0,1.0,medium
1000029,162,768317.561728395,8767520.069026642,11.411323267560574,111111110.0,8.0,high
1000030,23,4.913043478260869,3.20387611096112,0.6521163765673077,8.0,6.0,medium
1000031,12,5.5,3.4509550720186013,0.6274463767306547,8.0,6.25,medium
1000032,131,6506260.442748091,23362778.058276407,3.590815071707846,112222226.0,172277.0,high
1000033,46,8.891304347826088,23.141332201034732,2.6026926191872803,116.0,4.0,high
1000034,98,11348.959183673469,112238.0315744608,9.889720260508613,1111110.0,5.0,high
1000035,29,4.689655172413793,2.8548636229106847,0.6087576842971314,8.0,5.0,medium
1000036,20,8.35,24.236282066790952,2.9025487505138865,110.0,4.0,high
1000037,35,31751.485714285714,187811.9592905395,5.915060510256332,1111115.0,2.5,high
1000038,4,2.25,1.5,0.6666666666666666,3.0,2.25,medium
1000039,47,2.7872340425531914,1.9774398271806546,0.709463144102983,4.0,4.0,medium
1000040,57,5268.421052631579,20690.48940847959,3.9272657218892326,111110.0,6.0,high
1000041,48,64569.770833333336,226252.27237615068,3.5039968309652227,1122223.0,11101.5,high
1000042,69,185535.30434782608,1341521.1347836726,7.230543747451433,11111111.0,5.0,high
1000043,21,2677492.4285714286,4831199.671948818,1.8043747277845696,11111001.0,111001.0,high
1000044,28,4183132.464285714,20960227.429375485,5.010653525396912,111111100.0,111000.0,high
1000045,207,2913424.347826087,17117054.588063456,5.875235648674285,111111118.0,110.5,high
1000046,20,19010.1,39937.836086255746,2.100874592256524,111110.0,11100.0,high
1000047,68,9589496.661764706,29032518.02267996,3.0275330444024844,111111226.0,1111101.25,high
1000048,21,2971757.095238095,4829549.393336431,1.6251494447763708,12222323.0,2221219.0,high
1000049,20,11682.35,34094.56977024965,2.918468439162467,111114.0,39.5,high
1000050,43,5471266.5813953485,23668822.036857303,4.326022445578039,111111121.0,61103.0,high
1000051,26,864252.0384615385,3016741.93026142,3.4905812147478934,11111110.0,1104.5,high
1000052,31,2.6451612903225805,1.5821585908029616,0.5981331257913636,6.0,2.0,medium
1000053,227,2246166.806167401,14704266.110608108,6.546382071996588,111111110.0,110.0,high
1000054,19,590648.7368421053,2547773.341200941,4.313516955648756,11111109.0,4.0,high
1000055,11,113455.09090909091,367762.416879826,3.241480077562196,1222224.0,6054.5,high
1000057,111,4675987.774774775,20824806.315751236,4.4535630371177115,111111113.0,11100.5,high
1000058,52,21394.153846153848,154080.8148918631,7.202005557212682,1111118.0,4.0,high
1000059,15,7419.933333333333,28686.66742698891,3.8661624219879216,111115.0,5.5,high
1000060,26,4273508.884615385,21790681.330755036,5.099013929560648,111111113.0,4.0,high
1000061,5,22228.0,49687.66663871428,2.235363804153063,111108.0,8.0,high
1000062,6,18524.0,45358.67137383986,2.448643455724458,111108.0,7.0,high
1000063,175,795425.4514285715,8471748.15462708,10.650587229025616,111111117.0,13.0,high
1000064,19,16.210526315789473,33.561848292647916,2.070373758312696,110.0,6.5,high
1000066,6,24.166666666666668,42.616506974019664,1.7634416678904687,109.0,2.0,high
1000067,13,8662.461538461539,30784.3534841305,3.5537650986901617,111113.0,114.0,high
1000068,7,2.5714285714285716,1.511857892036909,0.5879447357921312,4.0,2.0,medium
1000069,6,1870577.8333333333,4527135.208552199,2.4201800790533974,11111110.0,83574.25,high
1000070,11,2237520.8181818184,4411359.080157924,1.971538787175415,11122222.0,1111559.0,high
1000071,42,7214219.642857143,23875844.776083637,3.309553348534835,111111115.0,888775.75,high
1000072,12,1954644.0833333333,4288601.191486683,2.1940573366037865,11111112.0,361106.25,high
1000073,11,217.0909090909091,477.14053580584715,2.197883540144187,1232.0,5.0,high
1000074,16,22469192.75,44149426.605779015,1.9648870832611027,111222117.0,11129800.75,high
1000075,9,15078536.666666666,36820263.99395712,2.441899025609942,112334442.0,11121109.0,high
1000076,36,24444635.888888888,51671697.46969919,2.113825614117089,222333332.0,11135831.0,high
1000077,21,3.9523809523809526,2.783454516894258,0.7042475283708363,10.0,2.0,medium
1000078,9,1385324.4444444445,3664772.088614213,2.645425122837483,11111110.0,112111.0,high
1000079,70,2424295.9571428574,13488794.47892709,5.564004856413755,111111111.0,11107.5,high
1000080,30,78565.43333333333,281411.4052191674,3.5818730105542693,1111110.0,15.0,high
1000081,28,10088722.535714285,30538245.60786569,3.026968528449432,122222221.0,1111460.25,high
1000082,15,29801113.533333335,50771635.300947756,1.703682489721679,111222212.0,56111002.5,high
1000083,136,829371.6691176471,9527121.40548521,11.487155590473611,111111110.0,10.0,high
1000084,5,2444692.0,4868492.052682432,1.9914541597397268,11111113.0,1111002.0,high
1000085,140,1703591.8714285714,13259505.937997812,7.783264384138476,111222237.0,4.0,high
1000086,14,17239322.35714286,39894293.11406995,2.3141450857284043,111222222.0,1969434.5,high
1000087,26,7.538461538461538,22.537490133962603,2.989667058586876,116.0,3.0,high
1000089,205,1468677.4292682926,11070713.809887642,7.53787972039794,111111224.0,1107.0,high
1000090,10,126.4,347.9218303010031,2.7525461257990753,1111.0,10.0,high
1000091,37,6375868.864864865,25447773.575152162,3.991263640220982,111111121.0,1110.0,high
1000092,8,15277783.75,38917221.73221669,2.5473080630701226,111111110.0,2777783.75,high
1000093,21,5879533.142857143,24232659.6142956,4.121527853573729,111111110.0,11110.0,high
1000094,258,1473171.0,11994222.343568215,8.141771962364325,111111116.0,15.0,high
1000096,399,162612.23308270678,1243901.8282211435,7.649497240398133,11122224.0,12.0,high
1000097,71,7077508.563380281,25758778.187008362,3.6395262480199304,111111116.0,6108.5,high
1000098,23,4.130434782608695,2.7683987466680735,0.6702439070880599,11.0,3.0,medium
1000099,36,7.472222222222222,18.28111611333417,2.4465434203718592,111.0,3.25,high
1000100,21,5304.047619047619,24269.997982027504,4.575750393882278,111225.0,8.0,high
1000101,26,69.15384615384616,216.89678509515852,3.136438494145785,1115.0,13.75,high
1000103,238,1.3781512605042017,0.7462038571550027,0.5414527987893007,6.0,1.0,medium
1000105,4,4.25,1.707825127659933,0.40184120650821953,4.0,1.75,low
