khipu_id,deviation_type,numeric_deviation,structural_deviation,chromatic_deviation,deviation_count,anomaly_score,is_anomaly,n_colors,color_entropy,num_nodes,depth,avg_branching,density,anomaly_cluster
1000003,chromatic,False,False,True,1,-0.3801148243407787,False,6,2.0515331677817206,39,2,4.75,0.0256410256410256,5
1000004,chromatic,False,False,True,1,-0.3950537134563524,False,7,2.0571280704954336,177,2,10.352941176470589,0.0056497175141242,5
1000009,chromatic,False,False,True,1,-0.37255635234423,False,7,2.3282270665635063,127,3,2.423076923076923,0.0078740157480314,5
1000013,structural,False,True,False,1,-0.4010592678650795,False,2,0.9043814574359548,31,1,30.0,0.032258064516129,3
1000014,structural,False,True,False,1,-0.3898233701913226,False,3,1.499000441503341,38,1,37.0,0.0263157894736842,3
1000017,chromatic,False,False,True,1,-0.3421876874654946,False,5,1.938561046789939,40,2,3.9,0.025,5
1000020,hybrid,False,True,True,2,-0.6424630990655833,False,10,2.553923003859004,771,5,3.6445497630331753,0.001295332423737,4
1000021,chromatic,False,False,True,1,-0.3874260422883889,False,7,2.1158929805290763,123,2,4.88,0.008130081300813,5
1000023,hybrid,False,True,True,2,-0.5923098788326576,False,14,2.6323835725187426,573,3,7.15,0.0017452006980802,4
1000024,structural,False,True,False,1,-0.5837895438983314,False,9,1.582890161706799,574,3,6.741176470588235,0.0017421602787456,4
1000025,structural,False,True,False,1,-0.6329041045104989,False,7,1.7338291841113775,875,3,8.323809523809524,0.0011428571428571,4
1000029,chromatic,False,False,True,1,-0.4246503517188828,False,8,2.4096644044017377,254,3,7.4411764705882355,0.0039370078740157,5
1000034,chromatic,False,False,True,1,-0.365403474884179,False,7,2.1842676884407974,101,2,3.125,0.0099009900990099,5
1000038,structural,False,True,False,1,-0.443129361998506,False,2,0.9999999997114609,6,2,1.6666666666666667,0.1666666666666666,1
1000039,structural,False,True,False,1,-0.383665531641352,False,7,2.193968270371305,65,1,64.0,0.0153846153846153,3
1000041,structural,False,True,False,1,-0.3901782302623849,False,3,1.2039262882073782,49,1,48.0,0.0204081632653061,3
1000043,chromatic,False,False,True,1,-0.3548159433437904,False,5,2.280950925503252,22,2,2.1,0.0454545454545454,5
1000048,hybrid,True,True,False,2,-0.5170880880101824,False,2,0.26676498751448696,22,1,21.0,0.0454545454545454,1
1000051,structural,False,True,False,1,-0.3584491600458046,False,4,1.6358275839608771,30,1,29.0,0.0333333333333333,3
1000053,structural,False,True,False,1,-0.5533798136236123,False,4,1.0242580617018746,288,1,287.0,0.0034722222222222,2
1000056,structural,False,True,False,1,-0.4139311171706003,False,4,0.9191427127445202,43,1,42.0,0.0232558139534883,3
1000057,structural,False,True,False,1,-0.4569832039786458,False,3,0.8883085721377996,164,1,163.0,0.0060975609756097,2
1000061,structural,False,True,False,1,-0.4345928441016446,False,4,1.9056390616524883,8,3,2.333333333333333,0.125,1
1000062,structural,False,True,False,1,-0.4310128941231121,False,3,1.4056390617967578,8,3,2.333333333333333,0.125,1
1000064,structural,False,True,False,1,-0.3577335073433869,False,4,1.8489879885004497,24,1,23.0,0.0416666666666666,3
1000065,structural,False,True,False,1,-0.45788358226638,False,3,1.4897648377496333,102,1,101.0,0.0098039215686274,3
1000071,structural,False,True,False,1,-0.3785176829040786,False,7,2.7675011119452955,56,1,55.0,0.0178571428571428,3
1000072,chromatic,False,False,True,1,-0.3655002205136134,False,3,1.5306189944157085,14,1,13.0,0.0714285714285714,3
1000073,chromatic,False,False,True,1,-0.386477487688702,False,3,1.1887218751080586,12,1,11.0,0.0833333333333333,3
1000075,numeric,True,False,False,1,-0.539874746604303,False,3,1.5466316149609691,12,2,2.2,0.0833333333333333,1
1000076,numeric,True,False,False,1,-0.4830879060048894,False,4,1.7853171337026263,37,2,7.2,0.027027027027027,1
1000077,structural,False,True,False,1,-0.5371819684751737,False,3,1.4846334587207355,282,2,140.5,0.0035460992907801,2
1000080,structural,False,True,False,1,-0.3655027256341112,False,3,1.0189139557672542,36,1,35.0,0.0277777777777777,3
1000088,structural,False,True,False,1,-0.6044544181251691,False,1,0.0,196,1,195.0,0.0051020408163265,2
1000096,hybrid,False,True,True,2,-0.7479590740522242,False,8,0.7635002185625063,1832,3,13.268115942028986,0.0005458515283842,4
1000099,structural,False,True,False,1,-0.3718772780331041,False,3,1.4687316179557164,44,1,43.0,0.0227272727272727,3
1000100,structural,False,True,False,1,-0.3601803503461978,False,4,1.5990919733788216,26,1,25.0,0.0384615384615384,3
1000103,structural,False,True,False,1,-0.5722540900117087,False,6,1.3181573825739135,542,2,4.7043478260869565,0.0018450184501845,4
1000108,structural,False,True,False,1,-0.360761772092635,False,3,1.1867198440999482,26,1,25.0,0.0384615384615384,3
1000109,structural,False,True,False,1,-0.4034313144995493,False,3,1.5394847564986933,11,3,2.5,0.0909090909090909,1
1000110,structural,False,True,False,1,-0.3553475619186997,False,3,1.219748493027948,22,1,21.0,0.0454545454545454,3
1000112,structural,False,True,False,1,-0.4617927574575554,False,4,1.9999999994229218,5,1,4.0,0.2,1
1000113,structural,False,True,False,1,-0.3771986950189831,False,6,2.423721484934048,36,1,35.0,0.0277777777777777,3
1000118,hybrid,True,True,False,2,-0.5511757851321278,False,3,1.4725137489251265,31,1,30.0,0.032258064516129,1
1000119,structural,False,True,False,1,-0.3860806666800879,False,2,0.8631205682780919,63,1,62.0,0.0158730158730158,3
1000124,structural,False,True,False,1,-0.4838358292528871,False,5,1.8279529811683504,113,1,112.0,0.0088495575221238,3
1000129,structural,False,True,False,1,-0.4886820714268362,False,3,1.4999999995671913,4,1,3.0,0.25,1
1000131,structural,False,True,False,1,-0.3887832907265515,False,3,0.9062004467795054,66,1,65.0,0.0151515151515151,3
1000135,chromatic,False,False,True,1,-0.3683718149731348,False,3,1.2994705703644438,17,1,16.0,0.0588235294117647,3
1000140,chromatic,False,False,True,1,-0.4510400007986433,False,12,2.9699709037911077,363,3,4.022222222222222,0.0027548209366391,5
1000143,structural,False,True,False,1,-0.3584759612170903,False,3,1.469064051331236,31,1,30.0,0.032258064516129,3
1000144,chromatic,False,False,True,1,-0.3999767821611621,False,10,2.9021775692812493,126,3,5.0,0.0079365079365079,5
1000155,structural,False,True,False,1,-0.6157784174498768,False,1,0.0,2,1,1.0,0.5,1
1000156,structural,False,True,False,1,-0.4115037116057069,False,2,0.9999999997114609,8,2,1.75,0.125,1
1000160,structural,False,True,False,1,-0.5541293612897322,False,0,0.0,4,1,3.0,0.25,1
1000168,structural,False,True,False,1,-0.4893781235183427,False,1,0.0,4,1,3.0,0.25,1
1000169,chromatic,False,False,True,1,-0.3637667432723745,False,2,0.27619542735940006,21,1,20.0,0.0476190476190476,3
1000172,structural,False,True,False,1,-0.3563532142999722,False,3,1.1077843845197086,28,1,27.0,0.0357142857142857,3
1000174,structural,False,True,False,1,-0.4757278490596014,False,0,0.0,26,1,25.0,0.0384615384615384,1
1000176,structural,False,True,False,1,-0.383719609997131,False,2,0.9957274517963866,39,1,38.0,0.0256410256410256,3
1000177,structural,False,True,False,1,-0.5159844615220669,False,2,0.9963165192704231,29,2,1.5333333333333334,0.0283251231527093,1
1000179,chromatic,False,False,True,1,-0.3453062947527046,False,6,1.8747429948186043,27,2,4.333333333333333,0.037037037037037,5
1000182,structural,False,True,False,1,-0.5255943021678268,False,2,0.9999999997114609,4,1,3.0,0.25,1
1000183,hybrid,False,True,True,2,-0.6102578187005456,False,6,1.6608647754755106,590,3,19.0,0.0016949152542372,4
1000184,structural,False,True,False,1,-0.4126553910069789,False,5,1.5576500842836911,91,1,90.0,0.0109890109890109,3
1000187,chromatic,False,False,True,1,-0.3800792529437496,False,2,0.4394969866329743,12,2,5.5,0.0833333333333333,3
1000195,structural,False,True,False,1,-0.5008778918543958,False,4,1.9999999994229218,4,1,3.0,0.25,1
1000196,structural,False,True,False,1,-0.5911645975387225,False,1,0.0,3,1,2.0,0.3333333333333333,1
1000205,structural,False,True,False,1,-0.4601030055151058,False,2,0.7219280945988233,5,1,4.0,0.2,1
1000213,structural,False,True,False,1,-0.3635203408982863,False,4,1.8130296415751201,37,1,36.0,0.027027027027027,3
1000221,structural,False,True,False,1,-0.3587356150056375,False,4,1.5830435294761185,34,1,33.0,0.0294117647058823,3
1000222,chromatic,False,False,True,1,-0.3509811939331715,False,8,2.493840880284118,41,2,3.076923076923077,0.024390243902439,5
1000227,chromatic,False,False,True,1,-0.3620273195866775,False,2,0.8739810478388188,52,3,3.1875,0.0192307692307692,3
1000228,structural,False,True,False,1,-0.3665227576115964,False,2,0.9709505941661296,46,1,45.0,0.0217391304347826,3
1000229,chromatic,False,False,True,1,-0.3536673173927008,False,5,1.6441484824627666,81,2,3.809523809523809,0.0123456790123456,5
1000234,structural,False,True,False,1,-0.3794795622276707,False,2,0.9059282157544601,57,1,56.0,0.0175438596491228,3
1000235,chromatic,False,False,True,1,-0.3936054194430944,False,7,2.550931509423936,82,4,10.125,0.0121951219512195,5
1000236,chromatic,False,False,True,1,-0.3684371029828626,False,9,2.3325762078662677,83,2,16.4,0.0120481927710843,5
1000238,chromatic,False,False,True,1,-0.4671509099138279,False,11,2.444064867816199,327,4,6.269230769230769,0.0030581039755351,5
1000240,hybrid,False,True,True,2,-0.3951121156565144,False,3,1.2601368093956047,48,1,47.0,0.0208333333333333,3
1000246,structural,False,True,False,1,-0.3690381535186994,False,2,0.16542703370772777,42,1,41.0,0.0238095238095238,3
1000247,structural,False,True,False,1,-0.4129779803420431,False,3,1.530493056324674,27,1,26.0,0.037037037037037,3
1000248,structural,False,True,False,1,-0.4129779803420431,False,5,1.8795931881371724,27,1,26.0,0.037037037037037,3
1000250,structural,False,True,False,1,-0.4131507884825605,False,7,2.176020038464555,75,1,74.0,0.0133333333333333,3
1000253,structural,False,True,False,1,-0.3628618484631851,False,4,0.7195563647968252,25,1,24.0,0.04,3
1000258,structural,False,True,False,1,-0.4178495004905803,False,7,2.372873614364218,45,1,44.0,0.0222222222222222,3
1000259,structural,False,True,False,1,-0.4217342837269738,False,5,2.1800404779402407,112,1,111.0,0.0089285714285714,3
1000262,structural,False,True,False,1,-0.3923684249282299,False,4,1.9973627842357533,74,1,73.0,0.0135135135135135,3
1000267,structural,False,True,False,1,-0.3913010326309558,False,4,1.9048349457017486,62,1,61.0,0.0161290322580645,3
1000268,structural,False,True,False,1,-0.4009060543330818,False,6,2.0719714776815357,73,1,72.0,0.0136986301369863,3
1000270,chromatic,False,False,True,1,-0.3569970892366003,False,11,3.1121125971124557,103,2,3.642857142857143,0.0097087378640776,5
1000271,chromatic,False,False,True,1,-0.3670524640176654,False,12,3.007863510952505,126,2,5.0,0.0079365079365079,5
1000274,chromatic,False,False,True,1,-0.3777231192082242,False,12,3.228359294469473,132,2,6.894736842105263,0.0075757575757575,5
1000275,chromatic,False,False,True,1,-0.4297868929540664,False,18,3.6774531392289376,289,2,4.571428571428571,0.0034602076124567,5
1000277,hybrid,False,True,True,2,-0.4068816404833312,False,7,2.4640144097346606,40,1,39.0,0.025,3
1000279,hybrid,False,True,True,2,-0.6457848912918444,False,13,2.699566590546736,592,6,2.352,0.001680614624777,4
1000280,chromatic,False,False,True,1,-0.447536431932753,False,13,2.9022220220369612,274,2,3.5454545454545454,0.0036496350364963,5
1000287,chromatic,False,False,True,1,-0.4441122689857006,False,13,2.7706953787662734,261,2,7.027027027027027,0.003831417624521,5
1000288,chromatic,False,False,True,1,-0.3611883551704947,False,6,2.2758199863888273,17,2,8.0,0.0588235294117647,5
1000289,chromatic,False,False,True,1,-0.3679581114022122,False,6,2.3515937224831385,13,2,6.0,0.0769230769230769,5
1000291,structural,False,True,False,1,-0.3577287533320533,False,3,0.4821791897694643,25,1,24.0,0.04,3
1000292,hybrid,False,True,True,2,-0.6224734124752361,False,19,3.0818295853412003,867,4,5.154761904761905,0.0011534025374855,4
1000293,chromatic,False,False,True,1,-0.4299362053653318,False,10,2.5530946993224526,322,3,4.397260273972603,0.0031055900621118,5
1000296,structural,False,True,False,1,-0.3679408789774968,False,6,1.9377247236526478,39,1,38.0,0.0256410256410256,3
1000297,structural,False,True,False,1,-0.3587968746727503,False,3,1.2022921886496063,25,1,24.0,0.04,3
1000298,chromatic,False,False,True,1,-0.4337556987059355,False,10,2.7101173471205553,276,4,3.985507246376812,0.0036231884057971,5
1000299,chromatic,False,False,True,1,-0.4656108535998351,False,12,2.891627646898105,257,4,3.9384615384615382,0.0038910505836575,5
1000312,structural,False,True,False,1,-0.3983100866710877,False,3,1.440222532783436,90,1,89.0,0.0111111111111111,3
1000315,chromatic,False,False,True,1,-0.3568809176640147,False,4,1.3987201548806933,87,2,10.75,0.0114942528735632,5
1000316,chromatic,False,False,True,1,-0.3760035976801116,False,9,1.7188263869373919,127,3,3.9375,0.0078740157480314,5
1000317,chromatic,False,False,True,1,-0.3544842013990436,False,9,2.8982783694503444,58,2,5.7,0.0172413793103448,5
1000321,hybrid,False,True,True,2,-0.6680332468526305,False,34,2.3861757771093925,1228,3,9.5859375,0.000814332247557,4
1000323,chromatic,False,False,True,1,-0.4304331156263251,False,7,1.9252549916472415,219,3,5.45,0.0045662100456621,5
1000328,structural,False,True,False,1,-0.3603330742480353,False,7,2.4481020691815942,23,1,22.0,0.0434782608695652,3
1000330,structural,False,True,False,1,-0.3677839108866228,False,6,2.3676983733345582,39,1,38.0,0.0256410256410256,3
1000335,structural,False,True,False,1,-0.3794671378201672,False,4,1.6340152393800274,47,1,46.0,0.0212765957446808,3
1000336,structural,False,True,False,1,-0.4142743992745971,False,5,2.1220501792279283,108,1,107.0,0.0092592592592592,3
1000338,structural,False,True,False,1,-0.3603725976220523,False,8,2.7244078167084362,27,1,26.0,0.037037037037037,3
1000339,chromatic,False,False,True,1,-0.3853090894449538,False,17,3.509004560376152,58,4,3.3529411764705883,0.0172413793103448,5
1000342,structural,False,True,False,1,-0.4912716061921452,False,4,1.6544581876446318,187,1,186.0,0.0053475935828877,2
1000344,hybrid,False,True,True,2,-0.6010972279566659,False,5,1.9149472246535864,320,1,319.0,0.003125,2
1000346,structural,False,True,False,1,-0.3979729192922362,False,5,2.144563813784834,75,1,74.0,0.0133333333333333,3
1000348,structural,False,True,False,1,-0.4605701916393925,False,3,1.459147916594436,5,1,4.0,0.2,1
1000349,structural,False,True,False,1,-0.4382984399478818,False,4,1.9182958334774112,6,2,2.5,0.1666666666666666,1
1000350,structural,False,True,False,1,-0.4910804363001544,False,3,1.4999999995671913,4,1,3.0,0.25,1
1000353,chromatic,False,False,True,1,-0.3632309464589122,False,12,2.9510745034017747,32,3,3.1,0.03125,5
1000354,structural,False,True,False,1,-0.496057966546234,False,1,0.0,5,1,4.0,0.2,1
1000359,structural,False,True,False,1,-0.4645348837973143,False,10,2.5827580097595444,150,1,149.0,0.0066666666666666,3
1000363,structural,False,True,False,1,-0.4666593188913592,False,2,0.053633168112071264,165,1,164.0,0.006060606060606,2
1000365,structural,False,True,False,1,-0.3890095150049738,False,2,0.18512475981200685,71,1,70.0,0.0140845070422535,3
1000374,structural,False,True,False,1,-0.4128195358622066,False,2,0.08650421383280696,92,1,91.0,0.0108695652173913,3
1000376,structural,False,True,False,1,-0.4958591639570346,False,3,0.20875599695793617,181,1,180.0,0.005524861878453,2
1000381,structural,False,True,False,1,-0.4041761447132639,False,7,2.599406709438906,90,1,89.0,0.0111111111111111,3
1000382,structural,False,True,False,1,-0.4203084951837404,False,5,1.3485179716837856,77,1,76.0,0.0129870129870129,3
1000383,structural,False,True,False,1,-0.4293561777193682,False,1,0.0,116,1,115.0,0.0086206896551724,3
1000385,structural,False,True,False,1,-0.4168128550768984,False,3,0.9796386880815111,99,1,98.0,0.0101010101010101,3
1000388,structural,False,True,False,1,-0.4819118076876074,False,2,0.9999999997114609,6,3,1.25,0.1666666666666666,1
1000395,numeric,True,False,False,1,-0.4872452642254344,False,3,1.4772170010296741,16,1,15.0,0.0625,1
1000406,chromatic,False,False,True,1,-0.3850451007751815,False,10,2.449829350513034,126,3,2.6595744680851063,0.0079365079365079,5
1000413,structural,False,True,False,1,-0.5173481944092092,False,8,2.5703408626623263,269,3,3.6944444444444446,0.0036897297897131,5
