khipu_id,deviation_type,numeric_deviation,structural_deviation,chromatic_deviation,deviation_count,anomaly_score,is_anomaly,n_colors,color_entropy
1000000,none,False,False,False,0,-0.3642151294707316,False,5,2.2684727509097744
1000001,none,False,False,False,0,-0.4186502970874611,False,1,0.0
1000002,none,False,False,False,0,-0.3774877526627154,False,8,2.6983537359358065
1000003,chromatic,False,False,True,1,-0.3801148243407787,False,6,2.0515331677817206
1000004,chromatic,False,False,True,1,-0.3950537134563524,False,7,2.0571280704954336
1000005,none,False,False,False,0,-0.3581252762618265,False,2,0.28639695682741717
1000006,none,False,False,False,0,-0.3778870371706305,False,4,1.6719811709060037
1000007,none,False,False,False,0,-0.4745342246979549,False,8,2.6714037386579332
1000008,none,False,False,False,0,-0.3592500099377053,False,3,0.9382400480143734
1000009,chromatic,False,False,True,1,-0.37255635234423,False,7,2.3282270665635063
1000010,none,False,False,False,0,-0.3777597048087038,False,7,2.558419606389377
1000011,none,False,False,False,0,-0.3566299540648417,False,4,1.6374112383914667
1000012,none,False,False,False,0,-0.3946984992594285,False,11,2.7852326066792257
1000013,structural,False,True,False,1,-0.4010592678650795,False,2,0.9043814574359548
1000014,structural,False,True,False,1,-0.3898233701913226,False,3,1.499000441503341
1000015,none,False,False,False,0,-0.3451522291426199,False,3,1.4681773208460207
1000017,chromatic,False,False,True,1,-0.3421876874654946,False,5,1.938561046789939
1000018,none,False,False,False,0,-0.4718697742585322,False,8,1.3692696142467629
1000019,none,False,False,False,0,-0.3972989141925299,False,6,1.6390409010924796
1000020,hybrid,False,True,True,2,-0.6424630990655833,False,10,2.553923003859004
1000021,chromatic,False,False,True,1,-0.3874260422883889,False,7,2.1158929805290763
1000022,none,False,False,False,0,-0.3838960080496855,False,6,1.9031603466159477
1000023,hybrid,False,True,True,2,-0.5923098788326576,False,14,2.6323835725187426
1000024,structural,False,True,False,1,-0.5837895438983314,False,9,1.582890161706799
1000025,structural,False,True,False,1,-0.6329041045104989,False,7,1.7338291841113775
1000026,none,False,False,False,0,-0.3559299555253815,False,3,1.3599924917856794
1000027,none,False,False,False,0,-0.3745279010345206,False,3,1.5394910698673259
1000028,none,False,False,False,0,-0.3663081229298054,False,3,1.3566695194005023
1000029,chromatic,False,False,True,1,-0.4246503517188828,False,8,2.4096644044017377
